Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara's madre es un diseñador de joyas y su padre es un abogado.
The fashion designer Izawa had made the long journey down with her own handmade wedding dress with the intention of fulfill the couple 's plans of marriage . ||| El diseñador de moda Izawa había hecho el largo viaje hacia abajo con su propio vestido de novia hecho a mano con la intención de cumplir los planes de matrimonio de la pareja.
Her mother , Patricia MacTaggart , is a London - based interior designer and her father , Xavier Botana , is an Argentinian artist who lives in Buenos Aires . ||| Su madre, Patricia MacTaggart, es una diseñadora de interiores con sede en Londres y su padre, Xavier Botana, es una artista argentina que vive en Buenos Aires.
The designer identified Sévérine through her sexuality , and wanted to showcase the character as " sexy and exceptional and dark " by having her appear as naked as possible . ||| La diseñadora identificó a Sévérine a través de su sexualidad, y quería mostrar al personaje como " sexy y excepcional y oscuro " al hacerla aparecer lo más desnuda posible.
In 1926 , in her first year as a student at the famous Bauhaus design school in Dessau , Germany , the textile designer Margaretha Reichardt undertook a preliminary course run by Josef Albers and László Moholy - Nagy . ||| En 1926, en su primer año como estudiante en la famosa escuela de diseño Bauhaus en Dessau, Alemania, la diseñadora textil Margaretha Reichardt emprendió un curso preliminar dirigido por Josef Albers y László Moholy - Nagy.
Her mother is a fashion designer and her father works in the construction industry . ||| Su madre es una diseñadora de moda y su padre trabaja en la industria de la construcción.
Costume designer Antonella Cannarozzi was nominated for an Academy Award for Best Costume Design for her work in the film , but the award went to Colleen Atwood for " Alice in Wonderland " . ||| La diseñadora de vestuario Antonella Cannarozzi fue nominada a un premio de la Academia al mejor diseño de vestuario por su trabajo en la película, pero el premio fue para Colleen Atwood por " Alice in Wonderland ".
Dorothy Wright Liebes ( 14 October 1897 – 20 September 1972 ) was an American textile designer and weaver renowned for her innovative , custom - designed modern fabrics for architects and interior designers . ||| Dorothy Wright Liebes (14 de octubre de 1897 – 20 de septiembre de 1972) fue una diseñadora textil estadounidense y tejedora reconocida por sus telas modernas innovadoras y personalizadas para arquitectos y diseñadores de interiores.
A Hearst writer ghost wrote the newspaper page after 1918 , but the designer herself penned the " Good Housekeeping " and " Harper 's Bazaar " features throughout their duration , although the responsibility of producing a regular piece proved difficult , and she missed several deadlines . ||| Un escritor fantasma Hearst escribió la página del periódico después de 1918, pero la propia diseñadora escribió las características de "Good Housekeeping" y " Harper's Bazaar " a lo largo de su duración, aunque la responsabilidad de producir una pieza regular resultó difícil, y ella perdió varios plazos.
Her mother was an interior designer and her father a " pied noir " and a real estate agent . ||| Su madre era una diseñadora de interiores y su padre un " noir pied " y un agente de bienes raíces.
The designer first gained international recognition in 2000 with her collection „ Déclaration d’amour à l’Allemagne “ . ||| La diseñadora ganó el reconocimiento internacional por primera vez en 2000 con su colección „Declaration d’amour à l’Allemagne“.
The designer also draws on her studies of Bohemianism , Dark Romanticism , and love for the literature , art and music of the Decadent movement . ||| La diseñadora también se basa en sus estudios de Bohemia, Románticismo Oscuro, y el amor por la literatura, el arte y la música del movimiento Decadente.
AG Hair was founded in 1989 by Lotte Davis , a South African - born graphic designer and her husband John Davis , a hairdresser from Liverpool , in their North Vancouver basement . ||| AG Hair fue fundada en 1989 por Lotte Davis, una diseñadora gráfica nacida en Sudáfrica y su marido John Davis, un peluquero de Liverpool, en su sótano del norte de Vancouver.
Everything is produced in Moscow under the strict control of the designer herself . ||| Todo se produce en Moscú bajo el estricto control de la propia diseñadora.
Fashion designer Valentino once commented on her physical resemblance to Marlene Dietrich . ||| Diseñador de moda Valentino comentó una vez sobre su parecido físico con Marlene Dietrich.
Kanai was born in 1978 to parents with artistic backgrounds , her father being a graphic designer and her mother working for the Japanese fashion designer Issey Miyake . ||| Kanai nació en 1978 de padres con antecedentes artísticos, su padre siendo un diseñador gráfico y su madre trabajando para la diseñadora de moda japonesa Issey Miyake.
No director , choreographer , set designer or costume designer was hired like back in her days as career performer . ||| Ningún director, coreógrafo, escenógrafo o diseñador de vestuario fue contratado como en sus días como intérprete de carrera.
In 1993 , a Beverly Hills graphic designer who said she had an on-and-off relationship with Sharkey from 1985 to 1991 announced that she was suing Sharkey ' s estate . ||| En 1993, una diseñadora gráfica de Beverly Hills que dijo que tenía una relación con Sharkey de 1985 a 1991 anunció que estaba demandando la propiedad de Sharkey.
Designer Nicole Miller used Lynn 's " The Last High ( Y - Tron Remix ) " for her Spring 2013 campaign . ||| Diseñadora Nicole Miller utilizó Lynn's "The Last High ( Y - Tron Remix ) " para su campaña de primavera de 2013.
Costume designer Daphne Dare used artistic license with her costumes in the serial , since male Aztecs usually only wore brief loincloths and cloaks , while women were often topless . ||| La diseñadora de vestuario Daphne Dare utilizó la licencia artística con sus trajes en el serial, ya que los aztecas masculinos por lo general sólo usaban ropa interior breve y capas, mientras que las mujeres eran a menudo topless.
Her mother , Tessa , an interior designer spent time with her children playing tennis during their childhood . ||| Su madre, Tessa, una diseñadora de interiores pasó tiempo con sus hijos jugando al tenis durante su infancia.
Her maternal grandmother was a talented designer herself , and she displayed talent as a young girl in drawing and making clothes for her dolls . ||| Su abuela materna era una diseñadora talentosa ella misma, y ella mostró talento como una niña en el dibujo y la fabricación de ropa para sus muñecas.
Anne Fogarty ( February 2 , 1919 – January 15 , 1980 ) was an American fashion designer , active 1940–80 , who was noted for her understated , ladylike designs that were accessible to American women on a limited income . ||| Anne Fogarty (2 de febrero de 1919 - 15 de enero de 1980) fue una diseñadora de moda estadounidense, activa 1940-80, que fue conocida por su subestimado, diseños femeninos que eran accesibles para las mujeres estadounidenses en un ingreso limitado.
The designer praised her look and strong photographs , but criticized her runway walk as well as her lack of eye contact . ||| La diseñadora elogió su aspecto y fotografías fuertes, pero criticó su pasarela, así como su falta de contacto visual.
Her designer was John Henslow , and she was identical with his contemporaneous except that " Echo " was a ship - sloop and " Busy " was a brig - sloop . ||| Su diseñador era John Henslow, y ella era idéntica a su contemporáneo, excepto que " Echo " era un barco - sloop y " Ocupado " era un bergantín - sloop.
Urai has also worked as a freelance graphic designer and video game journalist and through her work with Microsoft she has been sponsored by the company , wearing an Xbox 360 logo on her gear . ||| Urai también ha trabajado como diseñador gráfico freelance y periodista de videojuegos y a través de su trabajo con Microsoft ha sido patrocinada por la empresa, con un logotipo Xbox 360 en su equipo.
In October 2014 , following the publication of the authorised biography Vivienne Westwood by the fashion designer and her co - author Ian Kelly , Gorman accused the authors and the publisher Picador of plagiarising substantial sections of material from his book " " . ||| En octubre de 2014, tras la publicación de la biografía autorizada de Vivienne Westwood por el diseñador de moda y su co-autor Ian Kelly, Gorman acusó a los autores y al editor Picador de plagiar secciones sustanciales de material de su libro " ".
Judianna Makovsky ( born August 24 , 1967 ) is an American costume designer , who is perhaps best known for her work on the films " Harry Potter and the Philosopher 's Stone " ( 2001 ) , " Seabiscuit " ( 2003 ) and " The Hunger Games " ( 2012 ) , as well as various films within the Marvel Cinematic Universe . ||| Judianna Makovsky (nacida el 24 de agosto de 1967) es una diseñadora de vestuario estadounidense, que tal vez sea más conocida por su trabajo en las películas " Harry Potter y la Piedra Filosofal " (2001), " Seabiscuit " (2003) y " Los Juegos del Hambre " (2012), así como varias películas dentro del Universo Cinematográfico Marvel.
One of the former residents of Satoya , however , turns out to be a famous designer who owns a run-down villa on Miyakojima that she offers to let Jun turn into a inn . ||| Uno de los antiguos residentes de Satoya, sin embargo, resulta ser un famoso diseñador que posee una villa en Miyakojima que se ofrece a dejar que Jun se convierta en una posada.
She became a designer herself at the company during the early 1930s and created a number of patterns on bone china and Queen ’s ware for Wedgwood . ||| Se convirtió en una diseñadora ella misma en la empresa durante la década de 1930 y creó una serie de patrones en porcelana ósea y la vajilla de Queen para Wedgwood.
The designer also said she had to make some adaptations to a suit worn by Ormond , as she is a completely different body shape to her character , Vivien Leigh . ||| La diseñadora también dijo que tenía que hacer algunas adaptaciones a un traje usado por Ormond, ya que es una forma de cuerpo completamente diferente a su personaje, Vivien Leigh.
The American designer Anne Fogarty was particularly noted for her full - skirted designs worn over crinoline petticoats , which were always separate garments from the dress to enable ease of movement and travelling . ||| La diseñadora americana Anne Fogarty fue especialmente conocida por sus diseños llenos de faldas usadas sobre enaguas crinolinas, que siempre fueron prendas separadas del vestido para permitir la facilidad de movimiento y de viaje.
American urban landscape designer Renée Gunter uses this plant in her South Los Angeles lawn as a drought - resistant alternative to thirstier plants . ||| La diseñadora de paisaje urbano estadounidense Renée Gunter utiliza esta planta en su césped del sur de Los Ángeles como una alternativa resistente a la sequía a las plantas más sedientas.
When she returned to Alabama she hired a designer for a hand-operated device to keep a windshield clear and had a local company produce a working model . ||| Cuando regresó a Alabama contrató a un diseñador para un dispositivo operado a mano para mantener un parabrisas despejado y una empresa local produjo un modelo de trabajo.
Shoulder pads originally became popular for women in the 1930s when fashion designer Elsa Schiaparelli included them in her designs of 1931 . ||| Hombro pads originalmente se hizo popular para las mujeres en la década de 1930 cuando la diseñadora de moda Elsa Schiaparelli los incluyó en sus diseños de 1931.
Then the designer insists the home owner leave and do not return to their house in 2 days as the designer and her crew prepares to finish renovating their house with a budget under $ 5000 . ||| Entonces el diseñador insiste en que el dueño de casa se vaya y no regrese a su casa en 2 días mientras el diseñador y su tripulación se preparan para terminar de renovar su casa con un presupuesto de menos de $ 5000.
Rachel Hauck is a scenic designer based in New York City who is known for her work in Anaïs Mitchell 's musical " Hadestown " on and off - Broadway and in London , John Leguizamo 's " Latin History for Morons " on and off - Broadway , and her extensive off - Broadway work . ||| Rachel Hauck es una diseñadora escénica con sede en la ciudad de Nueva York que es conocida por su trabajo en el musical de Anaïs Mitchell "Hadestown" en y fuera - Broadway y en Londres, John Leguizamo's "Latin History for Morons" en y fuera - Broadway, y su extensa fuera - Broadway trabajo.
Costume designer Karyn Wagner spoke of her role within " The Possibilities " , more so her involvement in the van sequence with Cassidy , Fiore and DeBlanc , wherein Wagner stated , " For a stunt like this , you have to consider what you can get 8 to 12 of , because you nee multiple takes for principal actors . ||| La diseñadora de vestuario Karyn Wagner habló de su papel dentro de " Las posibilidades ", más aún su participación en la secuencia de furgonetas con Cassidy, Fiore y DeBlanc, donde Wagner declaró, " Para una acrobacia como esta, tienes que considerar lo que se puede obtener 8 a 12 de, porque no hay múltiples tomas para los actores principales.
In her collection " Ariege " , fashion designer Marcela Calvet named one of her most sought - after handbags " Corinne " , in her honor . ||| En su colección " Ariege ", la diseñadora de moda Marcela Calvet nombró uno de sus bolsos más buscados " Corinne ", en su honor.
In 2003 , the designer launched her Dolly Girl fragrance together with several limited edition sets in the Dolly Girl series . ||| En 2003, el diseñador lanzó su fragancia Dolly Girl junto con varios sets de edición limitada en la serie Dolly Girl.
British designer Gina Franklyn sold British fashions out of her shop 99 , located at 99 MacDougal Street in New York 's Greenwich Village . ||| La diseñadora británica Gina Franklyn vendió modas británicas fuera de su tienda 99, ubicado en 99 MacDougal Street en el Greenwich Village de Nueva York.
She was the eldest daughter of the merchant Herman Kohany ( 1882–1942 ) who perished in the Holocaust under unknown circumstances , and Paulina Kohany , née Raaber ( 1882–1942 ) , a porcelain designer in her youth , who was killed along with her younger daughter Hilde Kohany ( 1920–1942 ) in Treblinka . ||| Ella era la hija mayor del comerciante Herman Kohany ( 1882-1942 ) que pereció en el Holocausto en circunstancias desconocidas, y Paulina Kohany, née Raaber ( 1882-1942 ), una diseñadora de porcelana en su juventud, que fue asesinado junto con su hija menor Hilde Kohany ( 1920-1942 ) en Treblinka.
Bobbie 's father was theologian Morris S. Seale , her sister was Thea Porter the fashion designer and her brother was writer and journalist Patrick Seale . ||| Bobbie's padre fue teólogo Morris S. Seale, su hermana fue Thea Porter la diseñadora de moda y su hermano fue escritor y periodista Patrick Seale.
The biological mother of Mia who was often portrayed as faceless character who lived in New York as fashion designer having her face always covered by a sculpture , in the 1st half of the show . ||| La madre biológica de Mia que a menudo fue retratada como un personaje sin rostro que vivía en Nueva York como diseñador de moda teniendo su cara siempre cubierta por una escultura, en la primera mitad del espectáculo.
Two days later the project was revealed to be a hoax perpetrated by Funny Or Die , after the video 's costume designer posted the experience on her online resume . ||| Dos días después, el proyecto fue revelado como un engaño perpetrado por Funny Or Die, después de que el diseñador de vestuario del video publicó la experiencia en su currículum en línea.
designer Dhafali Devi won the award for her rug under the Discipline category . ||| diseñador Dhafali Devi ganó el premio por su alfombra bajo la categoría Disciplina.
The Sui by Anna Sui line and her jeans line continued under operation after the designer left her designer job at Gilmar 's Cento X Cento . ||| La línea Sui de Anna Sui y su línea de vaqueros continuaron bajo operación después de que el diseñador dejó su trabajo de diseñador en Gilmar's Cento X Cento.
As costume designer Rita Riggs described in her 2001 Archive of American Television interview , Lear 's idea was to create the feeling of sepia tones , in an attempt to make viewers feel as if they were looking at an old family album . ||| Como la diseñadora de vestuario Rita Riggs describió en su 2001 Archive of American Television entrevista, Lear's idea era crear la sensación de sepia tonos, en un intento de hacer que los espectadores se sientan como si estuvieran mirando un viejo álbum familiar.
After her mother 's death , New York City fashion designer Lisa Rayborn ( Natasha Henstridge ) returns to her hometown and family farm . ||| Después de la muerte de su madre, la diseñadora de moda de la ciudad de Nueva York Lisa Rayborn ( Natasha Henstridge ) vuelve a su ciudad natal y granja familiar.
Rita Ryack is a costume designer who was nominated for an Academy Award for Best Costume Design at the 73rd Academy Awards for her work in " How the Grinch Stole Christmas " . ||| Rita Ryack es una diseñadora de vestuario que fue nominada a un premio de la Academia al mejor diseño de vestuario en los 73o Premios de la Academia por su trabajo en " How the Grinch Stole Christmas ".
It is important that in order to be an industrial design the product has to be produced in an industrial way , for example an artisan ca not be considered an industrial designer although she may challenge the same aspects of a product . ||| Es importante que para ser un diseño industrial el producto tiene que ser producido de una manera industrial, por ejemplo un artesano ca no ser considerado un diseñador industrial, aunque ella puede desafiar los mismos aspectos de un producto.
Elizabeth Florence Emanuel ( née Weiner , born 5 July 1953 ) is a British fashion designer who is best known for designing , with her former husband David Emanuel , the wedding dress worn by Diana , Princess of Wales , in 1981 . ||| Elizabeth Florence Emanuel (née Weiner, nacido el 5 de julio de 1953 ) es una diseñadora de moda británica que es más conocida por diseñar, con su ex marido David Emanuel, el vestido de novia llevado por Diana, Princesa de Gales, en 1981.
designer Dhafali Devi won the award for her rug . ||| diseñador Dhafali Devi ganó el premio por su alfombra.
The designer Jill Richards , herself a Hollywood actress of around the same era , favoured it in her collections of the 1970s , attracting a clientele of names such as Nancy Reagan . ||| La diseñadora Jill Richards, ella misma una actriz de Hollywood de alrededor de la misma era, lo favoreció en sus colecciones de la década de 1970, atrayendo a una clientela de nombres como Nancy Reagan.
Beulah Elizabeth Hazelrigg Brown ( November 24 , 1892 – March 26 , 1987 ) was a Hoosier painter , educator , and textile designer who is best known for her bold , colorful , abstract patterns for fabrics , as well as figure , genre , landscapes , and floral still - life paintings in watercolor , her preferred media . ||| Beulah Elizabeth Hazelrigg Brown (24 de noviembre de 1892 – 26 de marzo de 1987) fue una pintora, educadora y diseñadora textil Hoosier que es mejor conocida por su audaz, colorido, patrones abstractos para telas, así como figura, género, paisajes y naturaleza floral - pinturas de vida en acuarela, sus medios preferidos.
Chanel chief designer Karl Lagerfeld noted Zhou Xun for her strong fashion sense , describing the actress as " a synthesis of young Coco Chanel and Ballet Troupe Zizi Jeanmaire . " ||| El diseñador jefe de Chanel Karl Lagerfeld señaló Zhou Xun por su fuerte sentido de la moda, describiendo a la actriz como "una síntesis del joven Coco Chanel y Ballet Troupe Zizi Jeanmaire ".
She portrayed fashion designer `` Margo Lynley '' from the serial ' s inception until 1992 when she left to begin a family . ||| Ella retrató a la diseñadora de moda `` Margo Lynley '' desde el inicio de la serie hasta 1992 cuando se fue para formar una familia.
Under the label " LalicA " , the designer has produced her clothing line since 2002 . ||| Bajo la etiqueta " LalicA ", la diseñadora ha producido su línea de ropa desde 2002.
He also brought first - time collaborators production designer Barbara Ling based on her work in recreating historical settings in " The Doors " , and costume designer Arianne Phillips , who had a strong client list to her name including Tom Ford , James Mangold and Madonna . ||| También trajo por primera vez - colaboradores de producción diseñador Barbara Ling basado en su trabajo en la recreación de entornos históricos en " The Doors ", y diseñador de vestuario Arianne Phillips, que tenía una fuerte lista de clientes a su nombre incluyendo Tom Ford, James Mangold y Madonna.
Pope opted to leave Naughty Dog around 2010 , after " " was released , to move to Saitama , Japan , along with his wife Keiko , a game designer herself . ||| Pope optó por dejar Naughty Dog alrededor del 2010, después de que " " fue lanzado, para trasladarse a Saitama, Japón, junto con su esposa Keiko, una diseñadora de juegos ella misma.
Production designer Mihaela Poenaru drew on her recollections of the period to prepare the locations . ||| La diseñadora de producción Mihaela Poenaru se basó en sus recuerdos de la época para preparar los lugares.
Regarding The Silence of the Lambs mentioned above , I remember a behind-the-scenes documentary on it , and in it the costume designer for the film mentioned that she specifically strove for more ageless clothing for everyone , rather than what would have been characteristic of the early 1990s . ||| Respecto al silencio de los corderos mencionado anteriormente, recuerdo un documental detrás de las escenas sobre él, y en él el diseñador de vestuario para la película mencionó que ella se esforzó específicamente por más ropa sin edad para todos, en lugar de lo que habría sido característico de los principios de los años 90.
Olga , the main character , wants to be a costumes and set designer and her dreams come true when she works as an assistant for the famous edition of " La Traviata " directed by Luchino Visconti in 1955 . ||| Olga, el personaje principal, quiere ser un vestuario y escenógrafo diseñador y sus sueños se hacen realidad cuando trabaja como asistente para la famosa edición de "La Traviata" dirigida por Luchino Visconti en 1955.
This episode introduces the station ' s graphics designer , Mona , as she draws pictures for Nas ' story for the children ' s segment `` Listen With Frank '' . ||| Este episodio presenta a la diseñadora gráfica de la estación, Mona, mientras dibuja imágenes para la historia de Nas para el segmento infantil `` Escucha con Frank ''.
At the same time , the designer wanted her creations to be equally as interesting on an intellectual level for parents to enjoy also . ||| Al mismo tiempo, el diseñador quería que sus creaciones sean igualmente interesantes a nivel intelectual para que los padres disfruten también.
Although costume designer Vasuki Baskar wrote on her social media account that the first look of the film would be released on 13 November , during the Diwali festival , it was unveiled on 15 December 2012 at Yuvan Shankar Raja 's concert in Malaysia . ||| Aunque el diseñador de vestuario Vasuki Baskar escribió en su cuenta de redes sociales que la primera mirada de la película sería lanzado el 13 de noviembre, durante el festival de Diwali, fue presentado el 15 de diciembre de 2012 en el concierto de Yuvan Shankar Raja en Malasia.
Jenny Hellström ( born 1976 in Hofors , Gästrikland ) is both the name of a Swedish designer and her clothing brand . ||| Jenny Hellström (nacida en 1976 en Hofors, Gästrikland) es el nombre de una diseñadora sueca y su marca de ropa.
After World War II the famous designer reestablished herself . ||| Después de la Segunda Guerra Mundial la famosa diseñadora se restableció.
Prominent Lithuanian clothing designer usually organizes his collections presentations in Vilnius . ||| Diseñadora de ropa lituana prominente generalmente organiza sus presentaciones de colecciones en Vilnius.
For example , if one worker designs cars and another builds them , the designer will use his cognitive skills more frequently than the builder . ||| Por ejemplo, si un trabajador diseña coches y otro los construye, el diseñador utilizará sus habilidades cognitivas con más frecuencia que el constructor.
In 2017 , it was reported that the designer of Comic Sans had only used his typeface once . ||| En 2017, se informó que el diseñador de Comic Sans sólo había usado su tipografía una vez.
Nilssen maintains that the ovens were designed by Torsten Hoff , a renowned designer of ovens , who established himself as a sculptor in Christiania in 1711 , working there until his 1754 death . ||| Nilssen sostiene que los hornos fueron diseñados por Torsten Hoff, un diseñador de hornos de renombre, que se estableció como escultor en Christiania en 1711, trabajando allí hasta su muerte en 1754.
There is a chance that additional information could impede the reusability of the service as the service consumer designer may streamline his design based on this knowledge . ||| Existe la posibilidad de que la información adicional pueda impedir la reutilizabilidad del servicio ya que el diseñador consumidor de servicios puede racionalizar su diseño basado en este conocimiento.
Elwood Engel , famous for being lead designer of the 1961 Lincoln Continental and for his work as chief designer at Chrysler in the 1960s , was Staff Stylist ( and consequently roamed all of the design studios ) at Ford during this period and worked very closely with John Najjar in developing not only the 1958 , but also the 1959 update . ||| Elwood Engel, famoso por ser diseñador líder del Lincoln Continental 1961 y por su trabajo como diseñador jefe en Chrysler en la década de 1960, fue Staff Stylist ( y consecuentemente deambuló por todos los estudios de diseño ) en Ford durante este período y trabajó muy estrechamente con John Najjar en el desarrollo no sólo el 1958, sino también la actualización de 1959.
A successful and well known designer and craftsman in hand wrought silver jewelry by vocation , Joe 's greatest creative drive went into his work in sculpture . ||| Un exitoso y bien conocido diseñador y artesano en joyería de plata forjada a mano por vocación, Joe's mayor impulso creativo entró en su trabajo en la escultura.
He , probably more than any designer knew his customer and understood her . " ||| Él, probablemente más de lo que cualquier diseñador conocía a su cliente y la entendía. "
O. S. Nock describes it as ‘ the most disappointing and tactless act in his short and stormy career as CME , ’ and Allen stated ‘ he turned it into a machine of such hideous appearance as might well have made its designer turn in his grave . ||| O. S. Nock lo describe como ‘ el acto más decepcionante y sin tacto en su corta y tormentosa carrera como CME, ’ y Allen declaró ‘ lo convirtió en una máquina de aspecto tan horrible que bien podría haber hecho que su diseñador se volviera en su tumba.
In October 1998 , Hyundai complained to the BBC about what they described as " bigoted and racist " comments he made at the Birmingham Motor Show , where he was reported as saying that the people working on the Hyundai stand had " eaten a dog " and that the designer of the Hyundai XG had probably eaten a spaniel for his lunch . ||| En octubre de 1998, Hyundai se quejó ante la BBC de lo que describieron como "intolerante y racista" comentarios que hizo en el Birmingham Motor Show, donde se informó que dijo que la gente que trabajaba en el stand de Hyundai había "comido un perro" y que el diseñador del Hyundai XG probablemente había comido un spaniel para su almuerzo.
In his " New York Times " review , Frank Rich wrote : " In his brilliant lighting ... the designer Dennis Parichy has captured the entire spectrum of weather known to habitues of New England beaches in August . ||| En su revisión del "New York Times", Frank Rich escribió: "En su brillante iluminación... el diseñador Dennis Parichy ha capturado todo el espectro del clima conocido por los habitues de las playas de Nueva Inglaterra en agosto.
Pfitzner , a “ designer of high - class gasoline motors , transmissions , and gears ” was employed by Glen Curtiss at his Hammondsport factory . ||| Pfitzner, un “ diseñador de motores de gasolina de alta clase, transmisiones, y engranajes ” fue empleado por Glen Curtiss en su fábrica Hammondsport.
The designers were able to create a room for Italy , Mexico or Thailand , with one paint can being empty , which let that one designer choose whatever country he wanted . ||| Los diseñadores fueron capaces de crear una habitación para Italia, México o Tailandia, con una pintura puede estar vacía, que dejó que un diseñador elegir cualquier país que quería.
In the former case , device drivers may be required which the system designer may or may not be able to rely on if he has no control over the client device -LRB- as in the case of authentication to a public website -RRB- . ||| En el primer caso, los controladores de dispositivo pueden ser requeridos en los que el diseñador de sistema puede o no ser capaz de confiar si no tiene control sobre el dispositivo cliente -LRB- como en el caso de la autenticación a un sitio web público -RRB-.
1520–1601 ) was a Franc - comtois sculptor , trained as a " menuisier " or wood - worker ; as a designer of Mannerist ornaments , his published designs , such as " Oevvre de la diversite des termes , do nt on use en architecture , reduicts en ordres " , Lyon , 1572 , inspired luxury furnishings , such as dressoires , armoires and cabinets . ||| 1520-1601 ) fue un escultor franco - comtois, entrenado como un " menuisier " o madera - trabajador ; como un diseñador de adornos manieristas, sus diseños publicados, tales como " Oevvre de la diversite des termes, do nt on use en architecture, reduicts en ordres ", Lyon, 1572, muebles de lujo inspirados, tales como dressoires, armarios y armarios.
From the leftovers of the furniture production the young designer started to create leather bags and accessoires since he did not want to waste any material and started to sell them along with his furniture collection at trade fairs . ||| De las sobras de la producción de muebles el joven diseñador comenzó a crear bolsas de cuero y accesorios ya que no quería desperdiciar ningún material y comenzó a venderlos junto con su colección de muebles en ferias.
D'Or is married to Pazit , formerly a jewelry designer and now his manager . ||| D'Or está casada con Pazit, anteriormente diseñadora de joyas y ahora su gerente.
