Her stepfather is a carpenter and her father , who died , worked in an oil refinery . ||| Su padrastro es carpintero y su padre, que murió, trabajó en una refinería de petróleo.
A 30-year-old carpenter suffered accidental piercing of his jaw by a 3-inch nail from a nail gun . ||| Un carpintero de 30 años sufrió perforación accidental de su mandíbula por un clavo de 3 pulgadas de una pistola de clavos.
The company was established in 1907 by a Norwegian immigrant and carpenter Carl E. Overaa , who committed himself to rebuilding the Bay Area after the San Francisco earthquake of 1906 . ||| La compañía fue establecida en 1907 por un inmigrante y carpintero noruego Carl E. Overaa, que se comprometió a reconstruir el Área de la Bahía después del terremoto de San Francisco de 1906.
This artisanal mastery was becoming an anachronism by the time of Cornett 's life , yet the carpenter stubbornly kept at his craft , enduring considerable poverty in consequence . ||| Esta maestría artesanal se estaba convirtiendo en un anacronismo en la época de la vida de Cornett, sin embargo, el carpintero obstinadamente mantenido en su oficio, soportando una considerable pobreza en consecuencia.
The carpenter aboard " Reniera e Soderina " confronted his captain , telling him to surrender or face a mutiny . ||| El carpintero a bordo de "Reniera e Soderina" se enfrentó a su capitán, diciéndole que se rindiera o se enfrentara a un motín.
The only businesses that flourish serve the gin industry : gin sellers ; a distiller ( the aptly named Kilman ) ; the pawnbroker where the avaricious Mr. Gripe greedily takes the vital possessions ( the carpenter offers his saw and the housewife her cooking utensils ) of the alcoholic residents of the street in return for a few pennies to feed their habit ; and the undertaker , for whom Hogarth implies at least a handful of new customers from this scene alone . ||| Los únicos negocios que florecen sirven a la industria de la ginebra: vendedores de ginebra; un destilador (el bien llamado Kilman ) ; el prestamista donde el avaricioso Sr. Gripe codiciosamente toma las posesiones vitales (el carpintero ofrece su sierra y el ama de casa sus utensilios de cocina ) de los residentes alcohólicos de la calle a cambio de unos pocos centavos para alimentar su hábito ; y el enterrador, para quien Hogarth implica al menos un puñado de nuevos clientes de esta escena solo.
But the young carpenter with his throat cut was able to drag himself to the village to alert them and describe his killers . ||| Pero el joven carpintero con la garganta cortada pudo arrastrarse al pueblo para alertarlos y describir a sus asesinos.
His father , George , was a carpenter and his mother , Theano , worked as a maid . ||| Su padre, George, era un carpintero y su madre, Theano, trabajó como sirvienta.
He was born in Lac des Deux - Montagnes near Oka , the son of a carpenter and his wife . ||| Nació en Lac des Deux - Montagnes cerca de Oka, el hijo de un carpintero y su esposa.
Stayrook , who hails from San Diego , California , is an ex - carpenter , and earned the nickname " The Rock " because of his sturdy build and solid position at the foul - line . ||| Stayrook, que proviene de San Diego, California, es un ex carpintero, y se ganó el apodo de " La Roca " debido a su sólida construcción y posición sólida en la línea de falta.
Her stepfather is a carpenter and her father , who died , worked in an oil refinery . ||| Su padrastro es carpintero y su padre, que murió, trabajó en una refinería de petróleo.
Her father was a carpenter and her mother a housewife . ||| Su padre era carpintero y su madre ama de casa.
The ships carpenter reported that she would not last more than six months . ||| El carpintero de barcos informó que no duraría más de seis meses.
According to Graves , a pregnant Mary is compelled to pretend to marry an old , pious carpenter , Joseph , to protect herself and the unborn Jesus .. ||| De acuerdo con Graves, una María embarazada se ve obligada a pretender casarse con un viejo, carpintero piadoso, José, para protegerse a sí misma y al Jesús no nacido..
Her father worked as a carpenter and her mother was a teacher . ||| Su padre trabajaba como carpintero y su madre era maestra.
His father , Mr. Sutchai , is a carpenter and his mother Ms. Somphon , is a practical nurse . ||| Su padre, el Sr. Sutchai, es un carpintero y su madre la Sra. Somphon, es una enfermera práctica.
Wilhelm Maybach was born in Heilbronn , Baden - Württemberg in 1846 , the son of a carpenter and his wife Luise . ||| Wilhelm Maybach nació en Heilbronn, Baden - Württemberg en 1846, hijo de un carpintero y su esposa Luise.
Osewold the Reeve , who had originally been a carpenter himself , shouts out his immediate objection to such ridicule , and protests that the tale will insult carpenters and wives , but the Miller insists on proceeding with his tale . ||| Osewold el Reeve, que originalmente había sido un carpintero mismo, grita su objeción inmediata a tal ridiculez, y protestas que el cuento insultará carpinteros y esposas, pero el Miller insiste en continuar con su historia.
The carpenter reported that he had heard machinery operating towards the stern of the ship , but it was not clear whether this might have been the site diesel generator which ran at all times . ||| El carpintero informó que había oído la maquinaria que funcionaba hacia la popa de la nave, pero no estaba claro si este podría haber sido el generador diesel sitio que funcionó en todo momento.
Though a carpenter will typically fashion handles and woodblocks and set and sharpen his blades himself , the blades themselves are forged by steel smiths and provided unmounted to the carpenter . ||| Aunque un carpintero suele hacer manijas y bloques de madera y establecer y afilar sus propias cuchillas, las cuchillas son forjadas por herreros de acero y se proporcionan sin montar al carpintero.
[ [ Richard Hauptmann ] ] , a 34-year - old German immigrant carpenter , was arrested near his home in [ [ the Bronx ] ] , New York , on , 1934 , after paying for gasoline with one of the ransom bills . ||| [ Richard Hauptmann ] ], un carpintero inmigrante alemán de 34 años, fue arrestado cerca de su casa en [ [ el Bronx ] ], Nueva York, el, 1934, después de pagar la gasolina con uno de los billetes de rescate.
A 30-year-old carpenter suffered accidental piercing of his jaw by a 3-inch nail from a nail gun . ||| Un carpintero de 30 años sufrió perforación accidental de su mandíbula por un clavo de 3 pulgadas de una pistola de clavos.
The company was established in 1907 by a Norwegian immigrant and carpenter Carl E. Overaa , who committed himself to rebuilding the Bay Area after the San Francisco earthquake of 1906 . ||| La compañía fue establecida en 1907 por un inmigrante noruego y carpintero Carl E. Overaa, que se comprometió a reconstruir el Área de la Bahía después del terremoto de San Francisco de 1906.
This artisanal mastery was becoming an anachronism by the time of Cornett 's life , yet the carpenter stubbornly kept at his craft , enduring considerable poverty in consequence . ||| Esta maestría artesanal se estaba convirtiendo en un anacronismo en la época de la vida de Cornett, sin embargo, el carpintero obstinadamente mantenido en su oficio, soportando considerable pobreza en consecuencia.
The carpenter aboard " Reniera e Soderina " confronted his captain , telling him to surrender or face a mutiny . ||| El carpintero a bordo de "Reniera e Soderina" se enfrentó a su capitán, diciéndole que se rindiera o se enfrentara a un motín.
The only businesses that flourish serve the gin industry : gin sellers ; a distiller ( the aptly named Kilman ) ; the pawnbroker where the avaricious Mr. Gripe greedily takes the vital possessions ( the carpenter offers his saw and the housewife her cooking utensils ) of the alcoholic residents of the street in return for a few pennies to feed their habit ; and the undertaker , for whom Hogarth implies at least a handful of new customers from this scene alone . ||| Los únicos negocios que florecen sirven a la industria de la ginebra: vendedores de ginebra; un destilador (el bien llamado Kilman); el prestamista donde el avaricioso Sr. Gripe codicioso toma las posesiones vitales (el carpintero ofrece su sierra y el ama de casa sus utensilios de cocina) de los residentes alcohólicos de la calle a cambio de unos pocos centavos para alimentar su hábito; y el enterrador, para quien Hogarth implica al menos un puñado de nuevos clientes de esta escena solo.
But the young carpenter with his throat cut was able to drag himself to the village to alert them and describe his killers . ||| Pero el joven carpintero con la garganta cortada pudo arrastrarse al pueblo para alertarlos y describir a sus asesinos.
His father , George , was a carpenter and his mother , Theano , worked as a maid . ||| Su padre, George, era un carpintero y su madre, Theano, trabajaba como sirvienta.
He was born in Lac des Deux - Montagnes near Oka , the son of a carpenter and his wife . ||| Nació en Lac des Deux - Montagnes cerca de Oka, el hijo de un carpintero y su esposa.
Stayrook , who hails from San Diego , California , is an ex - carpenter , and earned the nickname " The Rock " because of his sturdy build and solid position at the foul - line . ||| Stayrook, que proviene de San Diego, California, es un ex carpintero, y se ganó el apodo de " La Roca " debido a su sólida construcción y posición sólida en la línea de falta.
Her stepfather is a carpenter and her father , who died , worked in an oil refinery . ||| Su padrastro es carpintero y su padre, que murió, trabajó en una refinería de petróleo.
Her father was a carpenter and her mother a housewife . ||| Su padre era carpintero y su madre ama de casa.
The ships carpenter reported that she would not last more than six months . ||| El carpintero de barcos informó que no duraría más de seis meses.
According to Graves , a pregnant Mary is compelled to pretend to marry an old , pious carpenter , Joseph , to protect herself and the unborn Jesus .. ||| De acuerdo con Graves, una María embarazada se ve obligada a pretender casarse con un viejo carpintero piadoso, José, para protegerse a sí misma y al Jesús no nacido..
Her father worked as a carpenter and her mother was a teacher . ||| Su padre trabajaba como carpintero y su madre era maestra.
His father , Mr. Sutchai , is a carpenter and his mother Ms. Somphon , is a practical nurse . ||| Su padre, el Sr. Sutchai, es carpintero y su madre, la Sra. Somphon, es una enfermera práctica.
Wilhelm Maybach was born in Heilbronn , Baden - Württemberg in 1846 , the son of a carpenter and his wife Luise . ||| Wilhelm Maybach nació en Heilbronn, Baden - Württemberg en 1846, hijo de un carpintero y su esposa Luise.
Osewold the Reeve , who had originally been a carpenter himself , shouts out his immediate objection to such ridicule , and protests that the tale will insult carpenters and wives , but the Miller insists on proceeding with his tale . ||| Osewold el Reeve, que originalmente había sido un carpintero mismo, grita su objeción inmediata a tal ridículo, y protestas que el cuento insultará a carpinteros y esposas, pero el Miller insiste en continuar con su cuento.
The carpenter reported that he had heard machinery operating towards the stern of the ship , but it was not clear whether this might have been the site diesel generator which ran at all times . ||| El carpintero informó que había oído maquinaria que funcionaba hacia la popa del barco, pero no estaba claro si este podría haber sido el generador diesel sitio que funcionó en todo momento.
Though a carpenter will typically fashion handles and woodblocks and set and sharpen his blades himself , the blades themselves are forged by steel smiths and provided unmounted to the carpenter . ||| Aunque un carpintero suele hacer manijas y bloques de madera y establecer y afilar sus propias cuchillas, las propias cuchillas son forjadas por herreros de acero y se proporcionan sin montar al carpintero.
[ [ Richard Hauptmann ] ] , a 34-year - old German immigrant carpenter , was arrested near his home in [ [ the Bronx ] ] , New York , on , 1934 , after paying for gasoline with one of the ransom bills . ||| [ [ Richard Hauptmann ] ], un carpintero inmigrante alemán de 34 años, fue arrestado cerca de su casa en [ [ el Bronx ] ], Nueva York, el, 1934, después de pagar la gasolina con uno de los billetes de rescate.
A 30-year-old carpenter suffered accidental piercing of his jaw by a 3-inch nail from a nail gun . ||| Un carpintero de 30 años sufrió una perforación accidental de su mandíbula por un clavo de 3 pulgadas de una pistola de clavos.
The company was established in 1907 by a Norwegian immigrant and carpenter Carl E. Overaa , who committed himself to rebuilding the Bay Area after the San Francisco earthquake of 1906 . ||| La compañía fue establecida en 1907 por un inmigrante y carpintero noruego Carl E. Overaa, quien se comprometió a reconstruir el Área de la Bahía después del terremoto de San Francisco de 1906.
This artisanal mastery was becoming an anachronism by the time of Cornett 's life , yet the carpenter stubbornly kept at his craft , enduring considerable poverty in consequence . ||| Esta maestría artesanal se estaba convirtiendo en un anacronismo en la época de la vida de Cornett, sin embargo, el carpintero obstinadamente mantenido en su oficio, soportando una considerable pobreza en consecuencia.
The carpenter aboard " Reniera e Soderina " confronted his captain , telling him to surrender or face a mutiny . ||| El carpintero a bordo de "Reniera e Soderina" se enfrentó a su capitán, diciéndole que se rindiera o se enfrentara a un motín.
The only businesses that flourish serve the gin industry : gin sellers ; a distiller ( the aptly named Kilman ) ; the pawnbroker where the avaricious Mr. Gripe greedily takes the vital possessions ( the carpenter offers his saw and the housewife her cooking utensils ) of the alcoholic residents of the street in return for a few pennies to feed their habit ; and the undertaker , for whom Hogarth implies at least a handful of new customers from this scene alone . ||| Los únicos negocios que florecen sirven a la industria de la ginebra: los vendedores de ginebra; un destilador (el bien llamado Kilman); el prestamista donde el avaricioso Sr. Gripe codicioso toma las posesiones vitales (el carpintero ofrece su sierra y el ama de casa sus utensilios de cocina) de los residentes alcohólicos de la calle a cambio de unos pocos centavos para alimentar su hábito; y el enterrador, para quien Hogarth implica al menos un puñado de nuevos clientes de esta escena solamente.
But the young carpenter with his throat cut was able to drag himself to the village to alert them and describe his killers . ||| Pero el joven carpintero con la garganta cortada pudo arrastrarse al pueblo para alertarlos y describir a sus asesinos.
His father , George , was a carpenter and his mother , Theano , worked as a maid . ||| Su padre, George, era un carpintero y su madre, Theano, trabajaba como sirvienta.
He was born in Lac des Deux - Montagnes near Oka , the son of a carpenter and his wife . ||| Nació en Lac des Deux - Montagnes cerca de Oka, hijo de un carpintero y su esposa.
Stayrook , who hails from San Diego , California , is an ex - carpenter , and earned the nickname " The Rock " because of his sturdy build and solid position at the foul - line . ||| Stayrook, que proviene de San Diego, California, es un ex carpintero, y se ganó el apodo de " La Roca " debido a su sólida construcción y posición sólida en la línea de falta.
Her stepfather is a carpenter and her father , who died , worked in an oil refinery . ||| Su padrastro es carpintero y su padre, que murió, trabajó en una refinería de petróleo.
Her father was a carpenter and her mother a housewife . ||| Su padre era carpintero y su madre ama de casa.
The ships carpenter reported that she would not last more than six months . ||| El carpintero de los barcos informó que ella no duraría más de seis meses.
According to Graves , a pregnant Mary is compelled to pretend to marry an old , pious carpenter , Joseph , to protect herself and the unborn Jesus .. ||| Según Graves, una María embarazada se ve obligada a pretender casarse con un viejo carpintero piadoso, José, para protegerse a sí misma y al Jesús no nacido..
Her father worked as a carpenter and her mother was a teacher . ||| Su padre trabajaba como carpintero y su madre era maestra.
His father , Mr. Sutchai , is a carpenter and his mother Ms. Somphon , is a practical nurse . ||| Su padre, el Sr. Sutchai, es carpintero y su madre, la Sra. Somphon, es una enfermera práctica.
Wilhelm Maybach was born in Heilbronn , Baden - Württemberg in 1846 , the son of a carpenter and his wife Luise . ||| Wilhelm Maybach nació en Heilbronn, Baden - Württemberg en 1846, hijo de un carpintero y su esposa Luise.
Osewold the Reeve , who had originally been a carpenter himself , shouts out his immediate objection to such ridicule , and protests that the tale will insult carpenters and wives , but the Miller insists on proceeding with his tale . ||| Osewold el Reeve, que originalmente había sido un carpintero mismo, grita su objeción inmediata a tal ridículo, y protesta que la historia insultará a carpinteros y esposas, pero el Miller insiste en seguir con su cuento.
The carpenter reported that he had heard machinery operating towards the stern of the ship , but it was not clear whether this might have been the site diesel generator which ran at all times . ||| El carpintero informó que había oído la maquinaria que funcionaba hacia la popa del barco, pero no estaba claro si este podría haber sido el generador diesel sitio que funcionó en todo momento.
Though a carpenter will typically fashion handles and woodblocks and set and sharpen his blades himself , the blades themselves are forged by steel smiths and provided unmounted to the carpenter . ||| Aunque un carpintero suele hacer manijas y bloques de madera y establecer y afilar sus propias cuchillas, las propias cuchillas son forjadas por herreros de acero y se proporcionan sin montar al carpintero.
[ [ Richard Hauptmann ] ] , a 34-year - old German immigrant carpenter , was arrested near his home in [ [ the Bronx ] ] , New York , on , 1934 , after paying for gasoline with one of the ransom bills . ||| [ Richard Hauptmann ] ], un carpintero inmigrante alemán de 34 años, fue arrestado cerca de su casa en [ [ el Bronx ] ], Nueva York, el, 1934, después de pagar la gasolina con uno de los billetes de rescate.
A 30-year-old carpenter suffered accidental piercing of his jaw by a 3-inch nail from a nail gun . ||| Un carpintero de 30 años sufrió perforación accidental de la mandíbula por un clavo de 3 pulgadas de una pistola de clavos.
The company was established in 1907 by a Norwegian immigrant and carpenter Carl E. Overaa , who committed himself to rebuilding the Bay Area after the San Francisco earthquake of 1906 . ||| La empresa fue fundada en 1907 por un inmigrante y carpintero noruego Carl E. Overaa, que se comprometió a reconstruir el Área de la Bahía después del terremoto de San Francisco de 1906.
This artisanal mastery was becoming an anachronism by the time of Cornett 's life , yet the carpenter stubbornly kept at his craft , enduring considerable poverty in consequence . ||| Esta maestría artesanal se estaba convirtiendo en un anacronismo en la época de la vida de Cornett, sin embargo, el carpintero obstinadamente mantenido en su oficio, soportando una considerable pobreza en consecuencia.
The carpenter aboard " Reniera e Soderina " confronted his captain , telling him to surrender or face a mutiny . ||| El carpintero a bordo de " Reniera e Soderina " se enfrentó a su capitán, diciéndole que se rindiera o se enfrentara a un motín.
The only businesses that flourish serve the gin industry : gin sellers ; a distiller ( the aptly named Kilman ) ; the pawnbroker where the avaricious Mr. Gripe greedily takes the vital possessions ( the carpenter offers his saw and the housewife her cooking utensils ) of the alcoholic residents of the street in return for a few pennies to feed their habit ; and the undertaker , for whom Hogarth implies at least a handful of new customers from this scene alone . ||| Los únicos negocios que florecen sirven a la industria de la ginebra: vendedores de ginebra; un destilador (el bien llamado Kilman); el prestamista donde el avaricioso Sr. Gripe codicioso toma las posesiones vitales (el carpintero ofrece su sierra y el ama de casa sus utensilios de cocina) de los residentes alcohólicos de la calle a cambio de unos pocos centavos para alimentar su hábito; y el enterrador, para quien Hogarth implica al menos un puñado de nuevos clientes de esta escena solamente.
But the young carpenter with his throat cut was able to drag himself to the village to alert them and describe his killers . ||| Pero el joven carpintero con la garganta cortada pudo arrastrarse al pueblo para alertarlos y describir a sus asesinos.
His father , George , was a carpenter and his mother , Theano , worked as a maid . ||| Su padre, George, era carpintero y su madre, Theano, trabajaba como sirvienta.
He was born in Lac des Deux - Montagnes near Oka , the son of a carpenter and his wife . ||| Nació en Lac des Deux - Montagnes cerca de Oka, hijo de un carpintero y su esposa.
Stayrook , who hails from San Diego , California , is an ex - carpenter , and earned the nickname " The Rock " because of his sturdy build and solid position at the foul - line . ||| Stayrook, que proviene de San Diego, California, es un ex carpintero, y se ganó el apodo de " La Roca " debido a su robusta construcción y posición sólida en la línea sucia.
Her stepfather is a carpenter and her father , who died , worked in an oil refinery . ||| Su padrastro es carpintero y su padre, que murió, trabajó en una refinería de petróleo.
Her father was a carpenter and her mother a housewife . ||| Su padre era carpintero y su madre ama de casa.
The ships carpenter reported that she would not last more than six months . ||| El carpintero de los barcos informó que ella no duraría más de seis meses.
According to Graves , a pregnant Mary is compelled to pretend to marry an old , pious carpenter , Joseph , to protect herself and the unborn Jesus .. ||| Según Graves, una María embarazada se ve obligada a pretender casarse con un viejo carpintero piadoso, José, para protegerse a sí misma y al Jesús no nacido..
Her father worked as a carpenter and her mother was a teacher . ||| Su padre trabajaba como carpintero y su madre era maestra.
His father , Mr. Sutchai , is a carpenter and his mother Ms. Somphon , is a practical nurse . ||| Su padre, el Sr. Sutchai, es carpintero y su madre, la Sra. Somphon, es una enfermera práctica.
Wilhelm Maybach was born in Heilbronn , Baden - Württemberg in 1846 , the son of a carpenter and his wife Luise . ||| Wilhelm Maybach nació en Heilbronn, Baden - Württemberg en 1846, el hijo de un carpintero y su esposa Luise.
Osewold the Reeve , who had originally been a carpenter himself , shouts out his immediate objection to such ridicule , and protests that the tale will insult carpenters and wives , but the Miller insists on proceeding with his tale . ||| Osewold el Reeve, que originalmente había sido un carpintero mismo, grita su objeción inmediata a tal ridiculez, y protesta que la historia insultará a carpinteros y esposas, pero el Miller insiste en continuar con su historia.
The carpenter reported that he had heard machinery operating towards the stern of the ship , but it was not clear whether this might have been the site diesel generator which ran at all times . ||| El carpintero informó que había oído la maquinaria que funcionaba hacia la popa del barco, pero no estaba claro si este podría haber sido el generador diesel sitio que funcionó en todo momento.
Though a carpenter will typically fashion handles and woodblocks and set and sharpen his blades himself , the blades themselves are forged by steel smiths and provided unmounted to the carpenter . ||| Aunque un carpintero suele hacer manijas y bloques de madera y establecer y afilar sus propias cuchillas, las propias cuchillas son forjadas por herreros de acero y se proporcionan sin montar al carpintero.
[ [ Richard Hauptmann ] ] , a 34-year - old German immigrant carpenter , was arrested near his home in [ [ the Bronx ] ] , New York , on , 1934 , after paying for gasoline with one of the ransom bills . ||| [ Richard Hauptmann ] ], un carpintero inmigrante alemán de 34 años, fue arrestado cerca de su casa en [ [ el Bronx ] ], Nueva York, el, 1934, después de pagar la gasolina con uno de los billetes de rescate.
A 30-year-old carpenter suffered accidental piercing of his jaw by a 3-inch nail from a nail gun . ||| Un carpintero de 30 años sufrió perforación accidental de la mandíbula por un clavo de 3 pulgadas de una pistola de clavos.
The company was established in 1907 by a Norwegian immigrant and carpenter Carl E. Overaa , who committed himself to rebuilding the Bay Area after the San Francisco earthquake of 1906 . ||| La compañía fue fundada en 1907 por un inmigrante y carpintero noruego Carl E. Overaa, que se comprometió a reconstruir el Área de la Bahía después del terremoto de San Francisco de 1906.
This artisanal mastery was becoming an anachronism by the time of Cornett 's life , yet the carpenter stubbornly kept at his craft , enduring considerable poverty in consequence . ||| Esta maestría artesanal se estaba convirtiendo en un anacronismo en la época de la vida de Cornett, sin embargo, el carpintero obstinadamente mantenido en su oficio, soportando una considerable pobreza en consecuencia.
The carpenter aboard " Reniera e Soderina " confronted his captain , telling him to surrender or face a mutiny . ||| El carpintero a bordo de " Reniera e Soderina " se enfrentó a su capitán, diciéndole que se rindiera o se enfrentara a un motín.
The only businesses that flourish serve the gin industry : gin sellers ; a distiller ( the aptly named Kilman ) ; the pawnbroker where the avaricious Mr. Gripe greedily takes the vital possessions ( the carpenter offers his saw and the housewife her cooking utensils ) of the alcoholic residents of the street in return for a few pennies to feed their habit ; and the undertaker , for whom Hogarth implies at least a handful of new customers from this scene alone . ||| Los únicos negocios que florecen sirven a la industria de la ginebra: los vendedores de ginebra; un destilador (el bien llamado Kilman); el prestamista donde el avaricioso Sr. Gripe codiciosamente toma las posesiones vitales (el carpintero ofrece su sierra y el ama de casa sus utensilios de cocina) de los residentes alcohólicos de la calle a cambio de unos pocos centavos para alimentar su hábito; y el enterrador, para quien Hogarth implica al menos un puñado de nuevos clientes de esta escena solamente.
But the young carpenter with his throat cut was able to drag himself to the village to alert them and describe his killers . ||| Pero el joven carpintero con la garganta cortada pudo arrastrarse al pueblo para alertarlos y describir a sus asesinos.
His father , George , was a carpenter and his mother , Theano , worked as a maid . ||| Su padre, George, era carpintero y su madre, Theano, trabajaba como sirvienta.
He was born in Lac des Deux - Montagnes near Oka , the son of a carpenter and his wife . ||| Nació en Lac des Deux - Montagnes cerca de Oka, hijo de un carpintero y su esposa.
Stayrook , who hails from San Diego , California , is an ex - carpenter , and earned the nickname " The Rock " because of his sturdy build and solid position at the foul - line . ||| Stayrook, que proviene de San Diego, California, es un ex carpintero, y se ganó el apodo de " La Roca " debido a su robusta construcción y posición sólida en la línea sucia.
Her stepfather is a carpenter and her father , who died , worked in an oil refinery . ||| Su padrastro es carpintero y su padre, que murió, trabajó en una refinería de petróleo.
Her father was a carpenter and her mother a housewife . ||| Su padre era carpintero y su madre ama de casa.
The ships carpenter reported that she would not last more than six months . ||| El carpintero de los barcos informó que ella no duraría más de seis meses.
According to Graves , a pregnant Mary is compelled to pretend to marry an old , pious carpenter , Joseph , to protect herself and the unborn Jesus .. ||| Según Graves, una María embarazada se ve obligada a pretender casarse con un viejo carpintero piadoso, José, para protegerse a sí misma y al Jesús no nacido..
Her father worked as a carpenter and her mother was a teacher . ||| Su padre trabajaba como carpintero y su madre era maestra.
His father , Mr. Sutchai , is a carpenter and his mother Ms. Somphon , is a practical nurse . ||| Su padre, el Sr. Sutchai, es carpintero y su madre, la Sra. Somphon, es una enfermera práctica.
Wilhelm Maybach was born in Heilbronn , Baden - Württemberg in 1846 , the son of a carpenter and his wife Luise . ||| Wilhelm Maybach nació en Heilbronn, Baden - Württemberg en 1846, hijo de un carpintero y su esposa Luise.
Osewold the Reeve , who had originally been a carpenter himself , shouts out his immediate objection to such ridicule , and protests that the tale will insult carpenters and wives , but the Miller insists on proceeding with his tale . ||| Osewold el Reeve, que originalmente había sido un carpintero mismo, grita su objeción inmediata a tal ridiculez, y protesta que la historia insultará a carpinteros y esposas, pero el Miller insiste en continuar con su historia.
The carpenter reported that he had heard machinery operating towards the stern of the ship , but it was not clear whether this might have been the site diesel generator which ran at all times . ||| El carpintero informó que había oído maquinaria que operaba hacia la popa del barco, pero no estaba claro si este podría haber sido el generador diesel sitio que funcionó en todo momento.
Though a carpenter will typically fashion handles and woodblocks and set and sharpen his blades himself , the blades themselves are forged by steel smiths and provided unmounted to the carpenter . ||| Aunque un carpintero suele hacer manijas y bloques de madera y establecer y afilar sus propias cuchillas, las mismas cuchillas son forjadas por herreros de acero y se proporcionan sin montar al carpintero.
[ [ Richard Hauptmann ] ] , a 34-year - old German immigrant carpenter , was arrested near his home in [ [ the Bronx ] ] , New York , on , 1934 , after paying for gasoline with one of the ransom bills . ||| [ Richard Hauptmann ] ], un carpintero inmigrante alemán de 34 años, fue arrestado cerca de su casa en [ [ el Bronx ] ], Nueva York, el, 1934, después de pagar la gasolina con una de las facturas de rescate.
A 30-year-old carpenter suffered accidental piercing of his jaw by a 3-inch nail from a nail gun . ||| Un carpintero de 30 años sufrió perforación accidental de la mandíbula por un clavo de 3 pulgadas de una pistola de clavos.
The company was established in 1907 by a Norwegian immigrant and carpenter Carl E. Overaa , who committed himself to rebuilding the Bay Area after the San Francisco earthquake of 1906 . ||| La empresa fue fundada en 1907 por un inmigrante y carpintero noruego Carl E. Overaa, que se comprometió a reconstruir el Área de la Bahía después del terremoto de San Francisco de 1906.
This artisanal mastery was becoming an anachronism by the time of Cornett 's life , yet the carpenter stubbornly kept at his craft , enduring considerable poverty in consequence . ||| Esta maestría artesanal se estaba convirtiendo en un anacronismo en la época de la vida de Cornett, sin embargo, el carpintero obstinadamente mantenido en su oficio, soportando una considerable pobreza en consecuencia.
The carpenter aboard " Reniera e Soderina " confronted his captain , telling him to surrender or face a mutiny . ||| El carpintero a bordo de "Reniera e Soderina" se enfrentó a su capitán, diciéndole que se rindiera o se enfrentara a un motín.
The only businesses that flourish serve the gin industry : gin sellers ; a distiller ( the aptly named Kilman ) ; the pawnbroker where the avaricious Mr. Gripe greedily takes the vital possessions ( the carpenter offers his saw and the housewife her cooking utensils ) of the alcoholic residents of the street in return for a few pennies to feed their habit ; and the undertaker , for whom Hogarth implies at least a handful of new customers from this scene alone . ||| Los únicos negocios que florecen sirven a la industria de la ginebra: vendedores de ginebra; un destilador (el bien llamado Kilman ) ; el prestamista donde el avaricioso Sr. Gripe codiciosamente toma las posesiones vitales ( el carpintero ofrece su sierra y el ama de casa sus utensilios de cocina ) de los residentes alcohólicos de la calle a cambio de unos pocos centavos para alimentar su hábito ; y el enterrador, para quien Hogarth implica al menos un puñado de nuevos clientes de esta escena solamente.
