All these factors may affect the health of a pregnant hairdresser and her offspring . ||| Todos estos factores pueden afectar la salud de una peluquera embarazada y sus hijos.
In 1869 the Bannisters moved to Providence , Rhode Island , and Christiana continued her business as a hairdresser as well as her activism . ||| En 1869 los Bannisters se mudaron a Providence, Rhode Island, y Christiana continuó su negocio como peluquera, así como su activismo.
Kasulka was born and raised in the town of Macon , Georgia , as an only child to her mother , a hairdresser and her grandmother a pastor . ||| Kasulka nació y creció en la ciudad de Macon, Georgia, como hija única de su madre, una peluquera y su abuela un pastor.
Two French pals , one an unemployed young man named Otto ( Romain Duris ) living with his mother in state housing , and the other his girlfriend Louna ( Rona Hartner ) , who is a hairdresser and has the bailiffs after her , reflect on the lack of meaning in their lives , their society and the system . ||| Dos amigos franceses, uno un joven desempleado llamado Otto ( Romain Duris ) que vive con su madre en la vivienda del estado, y el otro su novia Louna ( Rona Hartner ), que es una peluquera y tiene los alguaciles después de ella, reflexionar sobre la falta de significado en sus vidas, su sociedad y el sistema.
The short , 18-minute film , made after three weeks of rehearsal , concerns a chatty hairdresser , Betty ( Alison Steadman ) , her shy daughter , Charlene ( Wendy Nottingham ) , and one of her customers , Joy ( Sylvestra Le Touzel ) . ||| El cortometraje de 18 minutos, realizado después de tres semanas de ensayo, se refiere a una peluquera placentera, Betty (Alison Steadman), su tímida hija, Charlene ( Wendy Nottingham) y una de sus clientes, Joy ( Sylvestra Le Touzel).
Not impressed by Steve 's treatment of Fiona , Arnold joked that " it 's a wonder the street 's top hairdresser did n't take her scissors to him . " ||| No impresionado por Steve's tratamiento de Fiona, Arnold bromeó que "es una maravilla que la peluquera de la calle's superior no llevó sus tijeras a él. "
The hairdresser has her problems and she was extracting money very often from the camera assistant . ||| La peluquera tiene sus problemas y estaba extrayendo dinero muy a menudo de la asistente de cámara.
Her hairdresser , Alex Foden , borrowed her " instantly recognisable " beehive hairdo ( a weave ) and she borrowed her Cleopatra makeup from the Ronettes . ||| Su peluquero, Alex Foden, tomó prestado su "reconoceble al instante" vello colmena (un tejido) y ella tomó prestado su maquillaje Cleopatra de los Ronettes.
Kitty asks him which man she should choose and the hairdresser says she should choose the highwayman because he prefers `` a manly man . ||| Kitty le pregunta qué hombre debe elegir y la peluquera dice que debe elegir al hombre de la carretera porque él prefiere `` un hombre varonil.
The daughter of a hairdresser in an Andalusian family , she describes herself as being from a working - class family , saying , " My mother and I are both young , and all I know is that my family experienced hunger back then , and that sticks with you . ||| Hija de una peluquera de una familia andaluza, se describe a sí misma como de una familia de clase trabajadora, diciendo: "Mi madre y yo somos jóvenes, y todo lo que sé es que mi familia experimentó hambre en ese entonces, y eso se queda contigo.
In his etching " Saturday Night " , he depicts a female hairdresser readying herself for a night on the town . ||| En su grabado " Saturday Night ", representa a una peluquera preparándose para una noche en la ciudad.
She had lost interest in the hobby over time until , on the " Wheel of Fortune " set , she noticed her pregnant hairdresser was crocheting a baby blanket for herself . ||| Ella había perdido interés en el hobby con el tiempo hasta, en la " Rueda de la Fortuna " conjunto, Ella notó que su peluquera embarazada estaba tejiendo una manta de bebé para sí misma.
A hairdresser with lupus erythematosus noted that acute attacks of his illness always coincided with periods of intense occupational activity . ||| Un peluquero con lupus eritematoso señaló que los ataques agudos de su enfermedad siempre coincidían con períodos de intensa actividad ocupacional.
A professional photographer Barry Lategan took several photos for Leonard , which the hairdresser hung in his salon . ||| Un fotógrafo profesional Barry Lategan tomó varias fotos para Leonard, que la peluquera colgó en su salón.
" Sheppey " is the story of a hardworking hairdresser who generally considers himself to be a lucky man and then has that self - belief proved when he wins a considerable sum of money . ||| " Sheppey " es la historia de un peluquero trabajador que por lo general se considera un hombre afortunado y luego tiene esa auto-creencia demostrado cuando gana una suma considerable de dinero.
His mother , Ingeborg ( b. 1944 ) , worked as a hairdresser and his father , Walter ( 1939–1996 ) , was a salesman who sold home entertainment products in the 1970s and later . ||| Su madre, Ingeborg (n. 1944), trabajó como peluquero y su padre, Walter ( 1939-1996), fue un vendedor que vendió productos de entretenimiento para el hogar en la década de 1970 y más tarde.
The patient is a 28-year-old hairdresser who began his apprenticeship after school and has worked in this profession since then . ||| El paciente es un peluquero de 28 años que comenzó su aprendizaje después de la escuela y ha trabajado en esta profesión desde entonces.
His mother was a hairdresser and his father , a musician . ||| Su madre era peluquera y su padre, un músico.
All these factors may affect the health of a pregnant hairdresser and her offspring . ||| Todos estos factores pueden afectar la salud de una peluquera embarazada y sus hijos.
In 1979 , Peggy Blumquist is a hairdresser in Luverne , Minnesota who is married to her high school sweetheart , local butcher Ed Blumquist . ||| En 1979, Peggy Blumquist es una peluquera en Luverne, Minnesota que está casada con su novia de la escuela secundaria, el carnicero local Ed Blumquist.
Debbie Doonan is described by Simon as " the most glamorous woman in Reading " , however , her glamorous reputation is temporarily tarnished when her hairdresser , Tameka , dies half way through her haircut . ||| Debbie Doonan es descrita por Simon como "la mujer más glamorosa de Reading", sin embargo, su glamurosa reputación está temporalmente empañada cuando su peluquera, Tameka, muere a la mitad de su corte de pelo.
In one scene , an obviously gay hairdresser is talking to Kitty Bellairs about her love affairs . ||| En una escena, una peluquera obviamente gay está hablando con Kitty Bellairs sobre sus aventuras amorosas.
After her death , her hairdresser Joseph Gharib said in an interview that during her last days , Sabah loved to wear red lipstick . ||| Después de su muerte, su peluquero Joseph Gharib dijo en una entrevista que durante sus últimos días, Sabah amaba usar lápiz labial rojo.
A hairdresser and her 76 year old apprentice take a ten day road - trip from Innisfail to Normanton in Queensland 's Gulf country . ||| Una peluquera y su aprendiz de 76 años toman un viaje de diez días por carretera de Innisfail a Normanton en Queensland's Gulf country.
In 1869 the Bannisters moved to Providence , Rhode Island , and Christiana continued her business as a hairdresser as well as her activism . ||| En 1869 los Bannisters se mudaron a Providence, Rhode Island, y Christiana continuó su negocio como peluquera, así como su activismo.
Kasulka was born and raised in the town of Macon , Georgia , as an only child to her mother , a hairdresser and her grandmother a pastor . ||| Kasulka nació y creció en la ciudad de Macon, Georgia, como hija única de su madre, una peluquera y su abuela un pastor.
Two French pals , one an unemployed young man named Otto ( Romain Duris ) living with his mother in state housing , and the other his girlfriend Louna ( Rona Hartner ) , who is a hairdresser and has the bailiffs after her , reflect on the lack of meaning in their lives , their society and the system . ||| Dos amigos franceses, uno de ellos un joven desempleado llamado Otto ( Romain Duris ) que vive con su madre en la vivienda del Estado, y el otro su novia Louna ( Rona Hartner ), que es una peluquera y tiene los alguaciles después de ella, reflexionar sobre la falta de significado en sus vidas, su sociedad y el sistema.
The short , 18-minute film , made after three weeks of rehearsal , concerns a chatty hairdresser , Betty ( Alison Steadman ) , her shy daughter , Charlene ( Wendy Nottingham ) , and one of her customers , Joy ( Sylvestra Le Touzel ) . ||| El cortometraje de 18 minutos, realizado después de tres semanas de ensayo, se refiere a una peluquera placentera, Betty (Alison Steadman), su tímida hija, Charlene (Wendy Nottingham) y uno de sus clientes, Joy ( Sylvestra Le Touzel).
Not impressed by Steve 's treatment of Fiona , Arnold joked that " it 's a wonder the street 's top hairdresser did n't take her scissors to him . " ||| No impresionado por Steve's tratamiento de Fiona, Arnold bromeó que "es una maravilla que la peluquera de la calle's superior no llevó sus tijeras a él. "
The hairdresser has her problems and she was extracting money very often from the camera assistant . ||| La peluquera tiene sus problemas y estaba extrayendo dinero muy a menudo de la asistente de cámara.
Her hairdresser , Alex Foden , borrowed her " instantly recognisable " beehive hairdo ( a weave ) and she borrowed her Cleopatra makeup from the Ronettes . ||| Su peluquero, Alex Foden, tomó prestado su "reconoceble al instante" pelo de colmena (un tejido) y ella tomó prestado su maquillaje Cleopatra de los Ronettes.
Kitty asks him which man she should choose and the hairdresser says she should choose the highwayman because he prefers `` a manly man . ||| Kitty le pregunta qué hombre debe elegir y la peluquera dice que debe elegir al peluquero porque prefiere `` un hombre varonil.
The daughter of a hairdresser in an Andalusian family , she describes herself as being from a working - class family , saying , " My mother and I are both young , and all I know is that my family experienced hunger back then , and that sticks with you . ||| Hija de una peluquera en una familia andaluza, ella se describe a sí misma como de una familia de clase trabajadora, diciendo: "Mi madre y yo somos jóvenes, y todo lo que sé es que mi familia experimentó hambre en ese entonces, y eso se queda contigo.
In his etching " Saturday Night " , he depicts a female hairdresser readying herself for a night on the town . ||| En su grabado " Sábado noche ", representa a una peluquera preparándose para una noche en la ciudad.
She had lost interest in the hobby over time until , on the " Wheel of Fortune " set , she noticed her pregnant hairdresser was crocheting a baby blanket for herself . ||| Ella había perdido interés en el hobby con el tiempo hasta, en el "Rueda de la Fortuna" conjunto, Ella notó que su peluquera embarazada estaba tejiendo una manta de bebé para sí misma.
A hairdresser with lupus erythematosus noted that acute attacks of his illness always coincided with periods of intense occupational activity . ||| Un peluquero con lupus eritematoso señaló que los ataques agudos de su enfermedad siempre coincidían con períodos de intensa actividad ocupacional.
A professional photographer Barry Lategan took several photos for Leonard , which the hairdresser hung in his salon . ||| Un fotógrafo profesional Barry Lategan tomó varias fotos para Leonard, que la peluquera colgó en su salón.
" Sheppey " is the story of a hardworking hairdresser who generally considers himself to be a lucky man and then has that self - belief proved when he wins a considerable sum of money . ||| " Sheppey " es la historia de un peluquero trabajador que por lo general se considera un hombre afortunado y luego tiene esa auto-creencia demostrada cuando gana una suma considerable de dinero.
His mother , Ingeborg ( b. 1944 ) , worked as a hairdresser and his father , Walter ( 1939–1996 ) , was a salesman who sold home entertainment products in the 1970s and later . ||| Su madre, Ingeborg (n. 1944), trabajó como peluquero y su padre, Walter ( 1939-1996), fue un vendedor que vendió productos de entretenimiento para el hogar en la década de 1970 y más tarde.
The patient is a 28-year-old hairdresser who began his apprenticeship after school and has worked in this profession since then . ||| El paciente es un peluquero de 28 años que comenzó su aprendizaje después de la escuela y ha trabajado en esta profesión desde entonces.
His mother was a hairdresser and his father , a musician . ||| Su madre era peluquera y su padre, un músico.
All these factors may affect the health of a pregnant hairdresser and her offspring . ||| Todos estos factores pueden afectar la salud de una peluquera embarazada y sus hijos.
In 1979 , Peggy Blumquist is a hairdresser in Luverne , Minnesota who is married to her high school sweetheart , local butcher Ed Blumquist . ||| En 1979, Peggy Blumquist es una peluquera en Luverne, Minnesota que está casada con su novia de la escuela secundaria, el carnicero local Ed Blumquist.
Debbie Doonan is described by Simon as " the most glamorous woman in Reading " , however , her glamorous reputation is temporarily tarnished when her hairdresser , Tameka , dies half way through her haircut . ||| Debbie Doonan es descrita por Simon como "la mujer más glamorosa de la lectura", sin embargo, su glamorosa reputación se empaña temporalmente cuando su peluquera, Tameka, muere a la mitad de su corte de pelo.
In one scene , an obviously gay hairdresser is talking to Kitty Bellairs about her love affairs . ||| En una escena, una peluquera obviamente gay está hablando con Kitty Bellairs sobre sus amores.
After her death , her hairdresser Joseph Gharib said in an interview that during her last days , Sabah loved to wear red lipstick . ||| Después de su muerte, su peluquero Joseph Gharib dijo en una entrevista que durante sus últimos días, Sabah amaba usar lápiz labial rojo.
A hairdresser and her 76 year old apprentice take a ten day road - trip from Innisfail to Normanton in Queensland 's Gulf country . ||| Una peluquera y su aprendiz de 76 años toman un viaje de diez días por carretera de Innisfail a Normanton en Queensland's Gulf country.
In 1869 the Bannisters moved to Providence , Rhode Island , and Christiana continued her business as a hairdresser as well as her activism . ||| En 1869 los Bannisters se trasladaron a Providence, Rhode Island, y Christiana continuó su negocio como peluquera, así como su activismo.
Kasulka was born and raised in the town of Macon , Georgia , as an only child to her mother , a hairdresser and her grandmother a pastor . ||| Kasulka nació y creció en la ciudad de Macon, Georgia, como hija única de su madre, una peluquera y su abuela un pastor.
Two French pals , one an unemployed young man named Otto ( Romain Duris ) living with his mother in state housing , and the other his girlfriend Louna ( Rona Hartner ) , who is a hairdresser and has the bailiffs after her , reflect on the lack of meaning in their lives , their society and the system . ||| Dos amigos franceses, uno de ellos un joven desempleado llamado Otto ( Romain Duris ) que vive con su madre en la vivienda del Estado, y el otro su novia Louna ( Rona Hartner ), que es peluquera y tiene los alguaciles después de ella, reflexionar sobre la falta de significado en sus vidas, su sociedad y el sistema.
The short , 18-minute film , made after three weeks of rehearsal , concerns a chatty hairdresser , Betty ( Alison Steadman ) , her shy daughter , Charlene ( Wendy Nottingham ) , and one of her customers , Joy ( Sylvestra Le Touzel ) . ||| El corto, de 18 minutos de duración, realizado después de tres semanas de ensayo, se refiere a una peluquera chatty, Betty (Alison Steadman), su hija tímida, Charlene ( Wendy Nottingham) y una de sus clientes, Joy ( Sylvestra Le Touzel).
Not impressed by Steve 's treatment of Fiona , Arnold joked that " it 's a wonder the street 's top hairdresser did n't take her scissors to him . " ||| No impresionado por el tratamiento de Steve de Fiona, Arnold bromeó que " es una maravilla que la peluquera de la calle's superior no llevó sus tijeras a él. "
The hairdresser has her problems and she was extracting money very often from the camera assistant . ||| La peluquera tiene sus problemas y ella estaba extrayendo dinero muy a menudo de la asistente de cámara.
Her hairdresser , Alex Foden , borrowed her " instantly recognisable " beehive hairdo ( a weave ) and she borrowed her Cleopatra makeup from the Ronettes . ||| Su peluquero, Alex Foden, tomó prestado su " inmediatamente reconocible " vello colmena (un tejido) y ella tomó prestado su maquillaje Cleopatra de los Ronettes.
Kitty asks him which man she should choose and the hairdresser says she should choose the highwayman because he prefers `` a manly man . ||| Kitty le pregunta qué hombre debe elegir y la peluquera dice que debe elegir al hombre de la carretera porque él prefiere `` un hombre varonil.
The daughter of a hairdresser in an Andalusian family , she describes herself as being from a working - class family , saying , " My mother and I are both young , and all I know is that my family experienced hunger back then , and that sticks with you . ||| Hija de una peluquera de una familia andaluza, se describe a sí misma como de una familia de clase trabajadora, diciendo: "Mi madre y yo somos jóvenes, y todo lo que sé es que mi familia experimentó hambre en ese entonces, y que se queda contigo.
In his etching " Saturday Night " , he depicts a female hairdresser readying herself for a night on the town . ||| En su grabado " Saturday Night ", representa a una peluquera preparándose para una noche en la ciudad.
She had lost interest in the hobby over time until , on the " Wheel of Fortune " set , she noticed her pregnant hairdresser was crocheting a baby blanket for herself . ||| Ella había perdido interés en el hobby con el tiempo hasta, en la " Rueda de la Fortuna " conjunto, Se dio cuenta de su peluquera embarazada estaba tejiendo una manta de bebé para sí misma.
A hairdresser with lupus erythematosus noted that acute attacks of his illness always coincided with periods of intense occupational activity . ||| Un peluquero con lupus eritematoso señaló que los ataques agudos de su enfermedad siempre coincidían con períodos de intensa actividad ocupacional.
A professional photographer Barry Lategan took several photos for Leonard , which the hairdresser hung in his salon . ||| Un fotógrafo profesional Barry Lategan tomó varias fotos para Leonard, que la peluquera colgó en su salón.
" Sheppey " is the story of a hardworking hairdresser who generally considers himself to be a lucky man and then has that self - belief proved when he wins a considerable sum of money . ||| " Sheppey " es la historia de un peluquero trabajador que por lo general se considera un hombre afortunado y luego tiene esa auto-creencia demostrada cuando gana una suma considerable de dinero.
His mother , Ingeborg ( b. 1944 ) , worked as a hairdresser and his father , Walter ( 1939–1996 ) , was a salesman who sold home entertainment products in the 1970s and later . ||| Su madre, Ingeborg (n. 1944), trabajó como peluquera y su padre, Walter ( 1939-1996), fue un vendedor que vendió productos de entretenimiento para el hogar en la década de 1970 y más tarde.
The patient is a 28-year-old hairdresser who began his apprenticeship after school and has worked in this profession since then . ||| El paciente es un peluquero de 28 años que comenzó su aprendizaje después de la escuela y ha trabajado en esta profesión desde entonces.
His mother was a hairdresser and his father , a musician . ||| Su madre era peluquera y su padre, músico.
All these factors may affect the health of a pregnant hairdresser and her offspring . ||| Todos estos factores pueden afectar la salud de una peluquera embarazada y sus hijos.
In 1979 , Peggy Blumquist is a hairdresser in Luverne , Minnesota who is married to her high school sweetheart , local butcher Ed Blumquist . ||| En 1979, Peggy Blumquist es una peluquera en Luverne, Minnesota que está casada con su novia de la escuela secundaria, el carnicero local Ed Blumquist.
Debbie Doonan is described by Simon as " the most glamorous woman in Reading " , however , her glamorous reputation is temporarily tarnished when her hairdresser , Tameka , dies half way through her haircut . ||| Debbie Doonan es descrita por Simon como "la mujer más glamurosa de Reading", sin embargo, su glamurosa reputación se empaña temporalmente cuando su peluquera, Tameka, muere a la mitad de su corte de pelo.
In one scene , an obviously gay hairdresser is talking to Kitty Bellairs about her love affairs . ||| En una escena, una peluquera obviamente gay está hablando con Kitty Bellairs sobre sus amores.
After her death , her hairdresser Joseph Gharib said in an interview that during her last days , Sabah loved to wear red lipstick . ||| Después de su muerte, su peluquero Joseph Gharib dijo en una entrevista que durante sus últimos días, Sabah amaba usar lápiz labial rojo.
A hairdresser and her 76 year old apprentice take a ten day road - trip from Innisfail to Normanton in Queensland 's Gulf country . ||| Una peluquera y su aprendiz de 76 años toman un viaje de diez días por carretera de Innisfail a Normanton en Queensland's Gulf country.
In 1869 the Bannisters moved to Providence , Rhode Island , and Christiana continued her business as a hairdresser as well as her activism . ||| En 1869 los Bannisters se trasladaron a Providence, Rhode Island, y Christiana continuó su negocio como peluquera, así como su activismo.
Kasulka was born and raised in the town of Macon , Georgia , as an only child to her mother , a hairdresser and her grandmother a pastor . ||| Kasulka nació y creció en la ciudad de Macon, Georgia, como hija única de su madre, una peluquera y su abuela un pastor.
Two French pals , one an unemployed young man named Otto ( Romain Duris ) living with his mother in state housing , and the other his girlfriend Louna ( Rona Hartner ) , who is a hairdresser and has the bailiffs after her , reflect on the lack of meaning in their lives , their society and the system . ||| Dos amigos franceses, uno de ellos un joven desempleado llamado Otto ( Romain Duris ) que vive con su madre en la vivienda del Estado, y el otro su novia Louna ( Rona Hartner ), que es una peluquera y tiene los alguaciles después de ella, reflexionar sobre la falta de significado en sus vidas, su sociedad y el sistema.
The short , 18-minute film , made after three weeks of rehearsal , concerns a chatty hairdresser , Betty ( Alison Steadman ) , her shy daughter , Charlene ( Wendy Nottingham ) , and one of her customers , Joy ( Sylvestra Le Touzel ) . ||| El corto, de 18 minutos de duración, realizado después de tres semanas de ensayo, se refiere a una peluquera habladora, Betty (Alison Steadman), su tímida hija, Charlene ( Wendy Nottingham) y una de sus clientes, Joy ( Sylvestra Le Touzel).
Not impressed by Steve 's treatment of Fiona , Arnold joked that " it 's a wonder the street 's top hairdresser did n't take her scissors to him . " ||| No impresionado por el tratamiento de Steve de Fiona, Arnold bromeó que " es una maravilla que la peluquera de la calle's superior no llevó sus tijeras a él. "
The hairdresser has her problems and she was extracting money very often from the camera assistant . ||| La peluquera tiene sus problemas y ella estaba extrayendo dinero muy a menudo de la asistente de cámara.
Her hairdresser , Alex Foden , borrowed her " instantly recognisable " beehive hairdo ( a weave ) and she borrowed her Cleopatra makeup from the Ronettes . ||| Su peluquero, Alex Foden, tomó prestado su " inmediatamente reconocible " vello colmena (un tejido) y ella tomó prestado su maquillaje Cleopatra de los Ronettes.
Kitty asks him which man she should choose and the hairdresser says she should choose the highwayman because he prefers `` a manly man . ||| Kitty le pregunta qué hombre debe elegir y la peluquera dice que debe elegir al hombre de la carretera porque él prefiere `` un hombre varonil.
The daughter of a hairdresser in an Andalusian family , she describes herself as being from a working - class family , saying , " My mother and I are both young , and all I know is that my family experienced hunger back then , and that sticks with you . ||| Hija de una peluquera de una familia andaluza, se describe a sí misma como de una familia de clase trabajadora, diciendo: "Mi madre y yo somos jóvenes, y todo lo que sé es que mi familia experimentó hambre en ese entonces, y que se queda contigo.
In his etching " Saturday Night " , he depicts a female hairdresser readying herself for a night on the town . ||| En su grabado " Saturday Night ", representa a una peluquera preparándose para una noche en la ciudad.
She had lost interest in the hobby over time until , on the " Wheel of Fortune " set , she noticed her pregnant hairdresser was crocheting a baby blanket for herself . ||| Ella había perdido interés en el hobby con el tiempo hasta, en el " Rueda de la Fortuna " conjunto, notó que su peluquera embarazada estaba tejiendo una manta de bebé para sí misma.
A hairdresser with lupus erythematosus noted that acute attacks of his illness always coincided with periods of intense occupational activity . ||| Un peluquero con lupus eritematoso señaló que los ataques agudos de su enfermedad siempre coincidían con períodos de intensa actividad ocupacional.
A professional photographer Barry Lategan took several photos for Leonard , which the hairdresser hung in his salon . ||| Un fotógrafo profesional Barry Lategan tomó varias fotos para Leonard, que la peluquera colgó en su salón.
" Sheppey " is the story of a hardworking hairdresser who generally considers himself to be a lucky man and then has that self - belief proved when he wins a considerable sum of money . ||| " Sheppey " es la historia de un peluquero trabajador que por lo general se considera un hombre afortunado y luego tiene esa confianza en sí mismo demostrado cuando gana una suma considerable de dinero.
His mother , Ingeborg ( b. 1944 ) , worked as a hairdresser and his father , Walter ( 1939–1996 ) , was a salesman who sold home entertainment products in the 1970s and later . ||| Su madre, Ingeborg (n. 1944), trabajó como peluquera y su padre, Walter ( 1939-1996), fue un vendedor que vendió productos de entretenimiento en el hogar en los años 1970 y más tarde.
The patient is a 28-year-old hairdresser who began his apprenticeship after school and has worked in this profession since then . ||| El paciente es un peluquero de 28 años de edad que comenzó su aprendizaje después de la escuela y ha trabajado en esta profesión desde entonces.
His mother was a hairdresser and his father , a musician . ||| Su madre era peluquera y su padre, músico.
All these factors may affect the health of a pregnant hairdresser and her offspring . ||| Todos estos factores pueden afectar la salud de una peluquera embarazada y sus hijos.
