All these factors may affect the health of a pregnant hairdresser and her offspring . ||| Tous ces facteurs peuvent affecter la santé d'un coiffeur enceinte et de sa progéniture.
" Sheppey " is the story of a hardworking hairdresser who generally considers himself to be a lucky man and then has that self - belief proved when he wins a considerable sum of money . ||| " Sheppey " est l'histoire d'un coiffeur travailleur qui se considère généralement comme un homme chanceux et qui a ensuite cette croyance de soi prouvée quand il gagne une somme considérable d'argent.
His mother , Ingeborg ( b. 1944 ) , worked as a hairdresser and his father , Walter ( 1939–1996 ) , was a salesman who sold home entertainment products in the 1970s and later . ||| Sa mère, Ingeborg (né en 1944 ), travaillait comme coiffeur et son père, Walter ( 1939–1996 ), était un vendeur qui a vendu des produits de divertissement à domicile dans les années 1970 et plus tard.
The patient is a 28-year-old hairdresser who began his apprenticeship after school and has worked in this profession since then . ||| La patiente est une coiffeuse de 28 ans qui a commencé son apprentissage après l'école et a travaillé dans cette profession depuis lors.
His mother was a hairdresser and his father , a musician . ||| Sa mère était coiffeuse et son père, musicien.
All these factors may affect the health of a pregnant hairdresser and her offspring . ||| Tous ces facteurs peuvent affecter la santé d'un coiffeur enceinte et sa progéniture.
In 1979 , Peggy Blumquist is a hairdresser in Luverne , Minnesota who is married to her high school sweetheart , local butcher Ed Blumquist . ||| En 1979, Peggy Blumquist est un coiffeur à Luverne, Minnesota qui est marié à son amour de lycée, boucher local Ed Blumquist.
Debbie Doonan is described by Simon as " the most glamorous woman in Reading " , however , her glamorous reputation is temporarily tarnished when her hairdresser , Tameka , dies half way through her haircut . ||| Debbie Doonan est décrit par Simon comme " la femme la plus glamour en lecture ", cependant, sa réputation glamour est temporairement ternie quand son coiffeur, Tameka, meurt à mi-chemin à travers sa coupe de cheveux.
In one scene , an obviously gay hairdresser is talking to Kitty Bellairs about her love affairs . ||| Dans une scène, un coiffeur évidemment gay parle à Kitty Bellairs de ses affaires d'amour.
After her death , her hairdresser Joseph Gharib said in an interview that during her last days , Sabah loved to wear red lipstick . ||| Après sa mort, son coiffeur Joseph Gharib a dit dans une interview que lors de ses derniers jours, Sabah aimait porter rouge à lèvres.
A hairdresser and her 76 year old apprentice take a ten day road - trip from Innisfail to Normanton in Queensland 's Gulf country . ||| Un coiffeur et son apprenti de 76 ans prennent un voyage de dix jours par route d'Innisfail à Normanton dans le pays du golfe du Queensland.
In 1869 the Bannisters moved to Providence , Rhode Island , and Christiana continued her business as a hairdresser as well as her activism . ||| En 1869, les Bannisters ont déménagé à Providence, Rhode Island, et Christiana a continué ses affaires comme coiffeur ainsi que son activisme.
Kasulka was born and raised in the town of Macon , Georgia , as an only child to her mother , a hairdresser and her grandmother a pastor . ||| Kasulka est né et a grandi dans la ville de Macon, Géorgie, comme un enfant unique à sa mère, un coiffeur et sa grand-mère un pasteur.
Two French pals , one an unemployed young man named Otto ( Romain Duris ) living with his mother in state housing , and the other his girlfriend Louna ( Rona Hartner ) , who is a hairdresser and has the bailiffs after her , reflect on the lack of meaning in their lives , their society and the system . ||| Deux amis français, l'un un jeune homme au chômage nommé Otto ( Romain Duris ) vivant avec sa mère dans un logement d'État, et l'autre sa petite amie Louna ( Rona Hartner ), qui est une coiffeuse et a les huissiers après elle, réfléchissent sur le manque de sens dans leur vie, leur société et le système.
The short , 18-minute film , made after three weeks of rehearsal , concerns a chatty hairdresser , Betty ( Alison Steadman ) , her shy daughter , Charlene ( Wendy Nottingham ) , and one of her customers , Joy ( Sylvestra Le Touzel ) . ||| Le court, film de 18 minutes, fait après trois semaines de répétition, concerne un coiffeur bavard, Betty ( Alison Steadman ), sa fille timide, Charlene ( Wendy Nottingham ), et l'un de ses clients, Joy ( Sylvestra Le Touzel ).
Not impressed by Steve 's treatment of Fiona , Arnold joked that " it 's a wonder the street 's top hairdresser did n't take her scissors to him . " ||| Pas impressionné par le traitement de Steve de Fiona, Arnold a plaisanté que "c'est une merveille que le coiffeur de la rue n'a pas pris ses ciseaux à lui. "
The hairdresser has her problems and she was extracting money very often from the camera assistant . ||| Le coiffeur a ses problèmes et elle tirait de l'argent très souvent de l'assistant de la caméra.
Her hairdresser , Alex Foden , borrowed her " instantly recognisable " beehive hairdo ( a weave ) and she borrowed her Cleopatra makeup from the Ronettes . ||| Son coiffeur, Alex Foden, lui a emprunté " instantanément reconnaissable " coiffure de ruche ( un tissage ) et elle a emprunté son maquillage Cléopâtre aux Ronettes.
Kitty asks him which man she should choose and the hairdresser says she should choose the highwayman because he prefers `` a manly man . ||| Kitty lui demande quel homme elle devrait choisir et le coiffeur dit qu'elle devrait choisir l'autoroutier parce qu'il préfère un homme viril.
The daughter of a hairdresser in an Andalusian family , she describes herself as being from a working - class family , saying , " My mother and I are both young , and all I know is that my family experienced hunger back then , and that sticks with you . ||| La fille d'un coiffeur dans une famille andalouse, elle se décrit comme étant d'une famille ouvrière, disant, "Ma mère et moi sommes tous les deux jeunes, et tout ce que je sais, c'est que ma famille a connu la faim à l'époque, et cela reste avec vous.
In his etching " Saturday Night " , he depicts a female hairdresser readying herself for a night on the town . ||| Dans sa gravure " Saturday Night ", il représente une coiffeuse féminine se préparant pour une nuit dans la ville.
She had lost interest in the hobby over time until , on the " Wheel of Fortune " set , she noticed her pregnant hairdresser was crocheting a baby blanket for herself . ||| Elle avait perdu l'intérêt dans le hobby au fil du temps jusqu'à, sur la " Roue de Fortune " set, elle a remarqué son coiffeur enceinte était crocheter une couverture de bébé pour elle-même.
A hairdresser with lupus erythematosus noted that acute attacks of his illness always coincided with periods of intense occupational activity . ||| Une coiffeuse au lupus érythémateux a noté que les crises aiguës de sa maladie coïncidaient toujours avec des périodes d'activité professionnelle intense.
A professional photographer Barry Lategan took several photos for Leonard , which the hairdresser hung in his salon . ||| Un photographe professionnel Barry Lategan a pris plusieurs photos pour Leonard, que le coiffeur a accroché dans son salon.
" Sheppey " is the story of a hardworking hairdresser who generally considers himself to be a lucky man and then has that self - belief proved when he wins a considerable sum of money . ||| "Sheppey" est l'histoire d'un coiffeur travailleur qui se considère généralement comme un homme chanceux et a ensuite cette croyance de soi prouvée quand il gagne une somme considérable d'argent.
His mother , Ingeborg ( b. 1944 ) , worked as a hairdresser and his father , Walter ( 1939–1996 ) , was a salesman who sold home entertainment products in the 1970s and later . ||| Sa mère, Ingeborg (né en 1944), a travaillé comme coiffeur et son père, Walter ( 1939–1996), était un vendeur qui a vendu des produits de divertissement à la maison dans les années 1970 et plus tard.
The patient is a 28-year-old hairdresser who began his apprenticeship after school and has worked in this profession since then . ||| La patiente est une coiffeuse de 28 ans qui a commencé son apprentissage après l'école et a travaillé dans cette profession depuis lors.
His mother was a hairdresser and his father , a musician . ||| Sa mère était un coiffeur et son père, un musicien.
All these factors may affect the health of a pregnant hairdresser and her offspring . ||| Tous ces facteurs peuvent affecter la santé d'un coiffeur enceinte et de sa progéniture.
In 1979 , Peggy Blumquist is a hairdresser in Luverne , Minnesota who is married to her high school sweetheart , local butcher Ed Blumquist . ||| En 1979, Peggy Blumquist est un coiffeur à Luverne, Minnesota qui est marié à son amour de lycée, boucher local Ed Blumquist.
Debbie Doonan is described by Simon as " the most glamorous woman in Reading " , however , her glamorous reputation is temporarily tarnished when her hairdresser , Tameka , dies half way through her haircut . ||| Debbie Doonan est décrite par Simon comme "la femme la plus glamour à lire ", cependant, sa réputation glamour est temporairement ternie lorsque son coiffeur, Tameka, meurt à mi-chemin à travers sa coupe de cheveux.
In one scene , an obviously gay hairdresser is talking to Kitty Bellairs about her love affairs . ||| Dans une scène, un coiffeur évidemment gay parle à Kitty Bellairs de ses affaires d'amour.
After her death , her hairdresser Joseph Gharib said in an interview that during her last days , Sabah loved to wear red lipstick . ||| Après sa mort, son coiffeur Joseph Gharib a dit dans une interview que lors de ses derniers jours, Sabah aimait porter rouge à lèvres.
A hairdresser and her 76 year old apprentice take a ten day road - trip from Innisfail to Normanton in Queensland 's Gulf country . ||| Un coiffeur et son apprenti de 76 ans font un voyage de dix jours en voiture d'Innisfail à Normanton dans le pays du golfe du Queensland.
In 1869 the Bannisters moved to Providence , Rhode Island , and Christiana continued her business as a hairdresser as well as her activism . ||| En 1869, les Bannisters se sont installés à Providence, Rhode Island, et Christiana a continué ses affaires comme coiffeur ainsi que son activisme.
Kasulka was born and raised in the town of Macon , Georgia , as an only child to her mother , a hairdresser and her grandmother a pastor . ||| Kasulka est né et a grandi dans la ville de Macon, Géorgie, comme un enfant unique à sa mère, un coiffeur et sa grand-mère un pasteur.
Two French pals , one an unemployed young man named Otto ( Romain Duris ) living with his mother in state housing , and the other his girlfriend Louna ( Rona Hartner ) , who is a hairdresser and has the bailiffs after her , reflect on the lack of meaning in their lives , their society and the system . ||| Deux copains français, un jeune homme au chômage nommé Otto ( Romain Duris ) vivant avec sa mère dans un logement d'État, et l'autre sa petite amie Louna ( Rona Hartner ), qui est une coiffeuse et a les huissiers après elle, réfléchissent sur le manque de sens dans leur vie, leur société et le système.
The short , 18-minute film , made after three weeks of rehearsal , concerns a chatty hairdresser , Betty ( Alison Steadman ) , her shy daughter , Charlene ( Wendy Nottingham ) , and one of her customers , Joy ( Sylvestra Le Touzel ) . ||| Le court, film de 18 minutes, fait après trois semaines de répétition, concerne un coiffeur bavard, Betty ( Alison Steadman ), sa fille timide, Charlene ( Wendy Nottingham ), et l'un de ses clients, Joy ( Sylvestra Le Touzel ).
Not impressed by Steve 's treatment of Fiona , Arnold joked that " it 's a wonder the street 's top hairdresser did n't take her scissors to him . " ||| Pas impressionné par le traitement de Steve de Fiona, Arnold a plaisanté que "c'est une merveille que le coiffeur de la rue n'a pas pris ses ciseaux à lui. "
The hairdresser has her problems and she was extracting money very often from the camera assistant . ||| Le coiffeur a ses problèmes et elle tirait de l'argent très souvent de l'assistant de la caméra.
Her hairdresser , Alex Foden , borrowed her " instantly recognisable " beehive hairdo ( a weave ) and she borrowed her Cleopatra makeup from the Ronettes . ||| Son coiffeur, Alex Foden, lui a emprunté " instantanément reconnaissable " coiffure de ruche ( un tissage ) et elle a emprunté son maquillage Cléopâtre aux Ronettes.
Kitty asks him which man she should choose and the hairdresser says she should choose the highwayman because he prefers `` a manly man . ||| Kitty lui demande quel homme elle devrait choisir et le coiffeur dit qu'elle devrait choisir l'autoroutier parce qu'il préfère un homme viril.
The daughter of a hairdresser in an Andalusian family , she describes herself as being from a working - class family , saying , " My mother and I are both young , and all I know is that my family experienced hunger back then , and that sticks with you . ||| La fille d'un coiffeur dans une famille andalouse, elle se décrit comme étant d'une famille ouvrière, disant, "Ma mère et moi sommes tous les deux jeunes, et tout ce que je sais, c'est que ma famille a connu la faim à l'époque, et cela colle avec vous.
In his etching " Saturday Night " , he depicts a female hairdresser readying herself for a night on the town . ||| Dans sa gravure " Saturday Night ", il dépeint une coiffeuse féminine se préparant pour une nuit dans la ville.
She had lost interest in the hobby over time until , on the " Wheel of Fortune " set , she noticed her pregnant hairdresser was crocheting a baby blanket for herself . ||| Elle avait perdu l'intérêt dans le hobby au fil du temps jusqu'à, sur la " Roue de Fortune " set, elle a remarqué son coiffeur enceinte était crocheter une couverture de bébé pour elle-même.
A hairdresser with lupus erythematosus noted that acute attacks of his illness always coincided with periods of intense occupational activity . ||| Une coiffeuse au lupus érythémateux a noté que les crises aiguës de sa maladie coïncidaient toujours avec des périodes d'activité professionnelle intense.
A professional photographer Barry Lategan took several photos for Leonard , which the hairdresser hung in his salon . ||| Un photographe professionnel Barry Lategan a pris plusieurs photos pour Leonard, que le coiffeur a accroché dans son salon.
" Sheppey " is the story of a hardworking hairdresser who generally considers himself to be a lucky man and then has that self - belief proved when he wins a considerable sum of money . ||| "Sheppey" est l'histoire d'un coiffeur travailleur qui se considère généralement comme un homme chanceux et qui a ensuite cette croyance en soi prouvée lorsqu'il gagne une somme considérable d'argent.
His mother , Ingeborg ( b. 1944 ) , worked as a hairdresser and his father , Walter ( 1939–1996 ) , was a salesman who sold home entertainment products in the 1970s and later . ||| Sa mère, Ingeborg (né en 1944), travaillait comme coiffeuse et son père, Walter ( 1939–1996), était un vendeur qui a vendu des produits de divertissement à domicile dans les années 1970 et plus tard.
The patient is a 28-year-old hairdresser who began his apprenticeship after school and has worked in this profession since then . ||| La patiente est une coiffeuse de 28 ans qui a commencé son apprentissage après l'école et a travaillé dans cette profession depuis lors.
His mother was a hairdresser and his father , a musician . ||| Sa mère était coiffeuse et son père, musicien.
All these factors may affect the health of a pregnant hairdresser and her offspring . ||| Tous ces facteurs peuvent affecter la santé d'un coiffeur enceinte et de sa progéniture.
In 1979 , Peggy Blumquist is a hairdresser in Luverne , Minnesota who is married to her high school sweetheart , local butcher Ed Blumquist . ||| Dans 1979, Peggy Blumquist est coiffeur à Luverne, Minnesota qui est marié à son amour de lycée, boucher local Ed Blumquist.
Debbie Doonan is described by Simon as " the most glamorous woman in Reading " , however , her glamorous reputation is temporarily tarnished when her hairdresser , Tameka , dies half way through her haircut . ||| Debbie Doonan est décrite par Simon comme " la femme la plus glamour à lire ", cependant, sa réputation glamour est temporairement ternie quand son coiffeur, Tameka, meurt à mi-chemin à travers sa coupe de cheveux.
In one scene , an obviously gay hairdresser is talking to Kitty Bellairs about her love affairs . ||| Dans une scène, un coiffeur évidemment gay parle à Kitty Bellairs de ses affaires d'amour.
After her death , her hairdresser Joseph Gharib said in an interview that during her last days , Sabah loved to wear red lipstick . ||| Après sa mort, son coiffeur Joseph Gharib a dit dans une interview que lors de ses derniers jours, Sabah aimait porter rouge à lèvres.
A hairdresser and her 76 year old apprentice take a ten day road - trip from Innisfail to Normanton in Queensland 's Gulf country . ||| Un coiffeur et son apprenti de 76 ans font un voyage de dix jours sur la route de Innisfail à Normanton dans le pays du golfe du Queensland.
In 1869 the Bannisters moved to Providence , Rhode Island , and Christiana continued her business as a hairdresser as well as her activism . ||| En 1869, les Bannisters s'installèrent à Providence, Rhode Island, et Christiana continua ses affaires en tant que coiffeuse ainsi que son activisme.
Kasulka was born and raised in the town of Macon , Georgia , as an only child to her mother , a hairdresser and her grandmother a pastor . ||| Kasulka est née et a grandi dans la ville de Macon, Géorgie, comme un enfant unique à sa mère, un coiffeur et sa grand-mère un pasteur.
Two French pals , one an unemployed young man named Otto ( Romain Duris ) living with his mother in state housing , and the other his girlfriend Louna ( Rona Hartner ) , who is a hairdresser and has the bailiffs after her , reflect on the lack of meaning in their lives , their society and the system . ||| Deux amis français, l'un un jeune homme au chômage nommé Otto ( Romain Duris ) vivant avec sa mère dans un logement d'État, et l'autre sa petite amie Louna ( Rona Hartner ), qui est une coiffeuse et a les huissiers après elle, réfléchissent sur le manque de sens dans leur vie, leur société et le système.
The short , 18-minute film , made after three weeks of rehearsal , concerns a chatty hairdresser , Betty ( Alison Steadman ) , her shy daughter , Charlene ( Wendy Nottingham ) , and one of her customers , Joy ( Sylvestra Le Touzel ) . ||| Le court, film de 18 minutes, fait après trois semaines de répétition, concerne un coiffeur bavard, Betty ( Alison Steadman ), sa fille timide, Charlene ( Wendy Nottingham ), et un de ses clients, Joy ( Sylvestra Le Touzel ).
Not impressed by Steve 's treatment of Fiona , Arnold joked that " it 's a wonder the street 's top hairdresser did n't take her scissors to him . " ||| Pas impressionné par le traitement de Steve de Fiona, Arnold a plaisanté que " c'est une merveille que le coiffeur de la rue n'a pas pris ses ciseaux pour lui. "
The hairdresser has her problems and she was extracting money very often from the camera assistant . ||| Le coiffeur a ses problèmes et elle tirait de l'argent très souvent de l'assistant de la caméra.
Her hairdresser , Alex Foden , borrowed her " instantly recognisable " beehive hairdo ( a weave ) and she borrowed her Cleopatra makeup from the Ronettes . ||| Son coiffeur, Alex Foden, lui a emprunté " instantanément reconnaissable " la coiffure de ruche (un tissage) et elle a emprunté son maquillage Cléopâtre aux Ronettes.
Kitty asks him which man she should choose and the hairdresser says she should choose the highwayman because he prefers `` a manly man . ||| Kitty lui demande quel homme elle devrait choisir et le coiffeur dit qu'elle devrait choisir le roadman parce qu'il préfère un homme viril.
The daughter of a hairdresser in an Andalusian family , she describes herself as being from a working - class family , saying , " My mother and I are both young , and all I know is that my family experienced hunger back then , and that sticks with you . ||| La fille d'un coiffeur dans une famille andalouse, elle se décrit comme étant d'une famille ouvrière, disant, "Ma mère et moi sommes tous les deux jeunes, et tout ce que je sais, c'est que ma famille a connu la faim à l'époque, et cela colle avec vous.
In his etching " Saturday Night " , he depicts a female hairdresser readying herself for a night on the town . ||| Dans sa gravure " Saturday Night ", il dépeint une coiffeuse féminine se préparant pour une nuit dans la ville.
She had lost interest in the hobby over time until , on the " Wheel of Fortune " set , she noticed her pregnant hairdresser was crocheting a baby blanket for herself . ||| Elle avait perdu l'intérêt dans le hobby au fil du temps jusqu'à, sur la " Roue de Fortune " set, elle a remarqué son coiffeur enceinte était crocheter une couverture de bébé pour elle-même.
A hairdresser with lupus erythematosus noted that acute attacks of his illness always coincided with periods of intense occupational activity . ||| Un coiffeur au lupus érythémateux a noté que les crises aiguës de sa maladie coïncidaient toujours avec des périodes d'activité professionnelle intense.
A professional photographer Barry Lategan took several photos for Leonard , which the hairdresser hung in his salon . ||| Un photographe professionnel Barry Lategan a pris plusieurs photos pour Leonard, que le coiffeur a accroché dans son salon.
" Sheppey " is the story of a hardworking hairdresser who generally considers himself to be a lucky man and then has that self - belief proved when he wins a considerable sum of money . ||| " Sheppey " est l'histoire d'un coiffeur qui travaille dur qui se considère généralement comme un homme chanceux et qui a ensuite cette croyance en soi prouvée lorsqu'il gagne une somme considérable d'argent.
His mother , Ingeborg ( b. 1944 ) , worked as a hairdresser and his father , Walter ( 1939–1996 ) , was a salesman who sold home entertainment products in the 1970s and later . ||| Sa mère, Ingeborg (né en 1944), travaillait comme coiffeur et son père, Walter ( 1939–1996), était un vendeur qui a vendu des produits de divertissement à domicile dans les années 1970 et plus tard.
The patient is a 28-year-old hairdresser who began his apprenticeship after school and has worked in this profession since then . ||| Le patient est un coiffeur de 28 ans qui a commencé son apprentissage après l'école et a travaillé dans cette profession depuis lors.
His mother was a hairdresser and his father , a musician . ||| Sa mère était coiffeuse et son père, musicien.
All these factors may affect the health of a pregnant hairdresser and her offspring . ||| Tous ces facteurs peuvent affecter la santé d'un coiffeur enceinte et de sa progéniture.
In 1979 , Peggy Blumquist is a hairdresser in Luverne , Minnesota who is married to her high school sweetheart , local butcher Ed Blumquist . ||| Dans 1979, Peggy Blumquist est une coiffeuse à Luverne, Minnesota qui est marié à son amour de lycée, boucher local Ed Blumquist.
Debbie Doonan is described by Simon as " the most glamorous woman in Reading " , however , her glamorous reputation is temporarily tarnished when her hairdresser , Tameka , dies half way through her haircut . ||| Debbie Doonan est décrite par Simon comme " la femme la plus glamour dans la lecture ", cependant, sa réputation glamour est temporairement ternie quand son coiffeur, Tameka, meurt à mi-chemin à travers sa coupe de cheveux.
In one scene , an obviously gay hairdresser is talking to Kitty Bellairs about her love affairs . ||| Dans une scène, une coiffeuse évidemment gay parle à Kitty Bellairs de ses affaires d'amour.
After her death , her hairdresser Joseph Gharib said in an interview that during her last days , Sabah loved to wear red lipstick . ||| Après sa mort, son coiffeur Joseph Gharib a dit dans une interview que lors de ses derniers jours, Sabah aimait porter rouge à lèvres.
A hairdresser and her 76 year old apprentice take a ten day road - trip from Innisfail to Normanton in Queensland 's Gulf country . ||| Une coiffeuse et son apprentie de 76 ans font un voyage de dix jours sur la route d'Innisfail à Normanton dans le pays du golfe du Queensland.
In 1869 the Bannisters moved to Providence , Rhode Island , and Christiana continued her business as a hairdresser as well as her activism . ||| En 1869, les Bannisters s'installèrent à Providence, Rhode Island, et Christiana continua ses affaires en tant que coiffeuse ainsi que son activisme.
Kasulka was born and raised in the town of Macon , Georgia , as an only child to her mother , a hairdresser and her grandmother a pastor . ||| Kasulka est née et a grandi dans la ville de Macon, Géorgie, comme un enfant unique à sa mère, un coiffeur et sa grand-mère un pasteur.
Two French pals , one an unemployed young man named Otto ( Romain Duris ) living with his mother in state housing , and the other his girlfriend Louna ( Rona Hartner ) , who is a hairdresser and has the bailiffs after her , reflect on the lack of meaning in their lives , their society and the system . ||| Deux amis français, l'un un jeune homme au chômage nommé Otto ( Romain Duris ) vivant avec sa mère dans un logement d'État, et l'autre sa petite amie Louna ( Rona Hartner ), qui est une coiffeuse et a les huissiers après elle, réfléchissent sur le manque de sens dans leur vie, leur société et le système.
The short , 18-minute film , made after three weeks of rehearsal , concerns a chatty hairdresser , Betty ( Alison Steadman ) , her shy daughter , Charlene ( Wendy Nottingham ) , and one of her customers , Joy ( Sylvestra Le Touzel ) . ||| Le court, film de 18 minutes, fait après trois semaines de répétition, concerne un coiffeur bavard, Betty ( Alison Steadman ), sa fille timide, Charlene ( Wendy Nottingham ), et l'un de ses clients, Joy ( Sylvestra Le Touzel ).
Not impressed by Steve 's treatment of Fiona , Arnold joked that " it 's a wonder the street 's top hairdresser did n't take her scissors to him . " ||| Pas impressionné par le traitement de Steve de Fiona, Arnold a plaisanté que " c'est une merveille que le coiffeur de la rue n'a pas pris ses ciseaux pour lui. "
The hairdresser has her problems and she was extracting money very often from the camera assistant . ||| La coiffeuse a ses problèmes et elle tirait de l'argent très souvent de l'assistant de la caméra.
Her hairdresser , Alex Foden , borrowed her " instantly recognisable " beehive hairdo ( a weave ) and she borrowed her Cleopatra makeup from the Ronettes . ||| Son coiffeur, Alex Foden, lui a emprunté " instantanément reconnaissable " la coiffure de ruche (un tissage) et elle a emprunté son maquillage Cléopâtre aux Ronettes.
Kitty asks him which man she should choose and the hairdresser says she should choose the highwayman because he prefers `` a manly man . ||| Kitty lui demande quel homme elle devrait choisir et le coiffeur dit qu'elle devrait choisir le roadman parce qu'il préfère un homme viril.
The daughter of a hairdresser in an Andalusian family , she describes herself as being from a working - class family , saying , " My mother and I are both young , and all I know is that my family experienced hunger back then , and that sticks with you . ||| La fille d'un coiffeur dans une famille andalouse, elle se décrit comme étant d'une famille ouvrière, disant, "Ma mère et moi sommes tous les deux jeunes, et tout ce que je sais, c'est que ma famille a connu la faim à l'époque, et cela colle avec vous.
In his etching " Saturday Night " , he depicts a female hairdresser readying herself for a night on the town . ||| Dans sa gravure " Saturday Night ", il dépeint une coiffeuse féminine se préparant pour une nuit dans la ville.
She had lost interest in the hobby over time until , on the " Wheel of Fortune " set , she noticed her pregnant hairdresser was crocheting a baby blanket for herself . ||| Elle avait perdu l'intérêt dans le hobby au fil du temps jusqu'à, sur la " Roue de Fortune " set, elle a remarqué son coiffeur enceinte était crocheter une couverture de bébé pour elle-même.
A hairdresser with lupus erythematosus noted that acute attacks of his illness always coincided with periods of intense occupational activity . ||| Un coiffeur au lupus érythémateux a noté que les crises aiguës de sa maladie coïncidaient toujours avec des périodes d'activité professionnelle intense.
A professional photographer Barry Lategan took several photos for Leonard , which the hairdresser hung in his salon . ||| Un photographe professionnel Barry Lategan a pris plusieurs photos pour Leonard, que le coiffeur a accroché dans son salon.
