Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara's mère est une joaillerie designer et son père est un avocat.
Costume designer Antonella Cannarozzi was nominated for an Academy Award for Best Costume Design for her work in the film , but the award went to Colleen Atwood for " Alice in Wonderland " . ||| Costume designer Antonella Cannarozzi a été nominé pour un Oscar pour le meilleur design de costume pour son travail dans le film, mais le prix est allé à Colleen Atwood pour " Alice in Wonderland ".
Dorothy Wright Liebes ( 14 October 1897 – 20 September 1972 ) was an American textile designer and weaver renowned for her innovative , custom - designed modern fabrics for architects and interior designers . ||| Dorothy Wright Liebes ( 14 octobre 1897 – 20 septembre 1972 ) était une designer textile américaine et tisserand réputée pour ses tissus modernes et innovants, conçus sur mesure pour les architectes et les designers d'intérieur.
A Hearst writer ghost wrote the newspaper page after 1918 , but the designer herself penned the " Good Housekeeping " and " Harper 's Bazaar " features throughout their duration , although the responsibility of producing a regular piece proved difficult , and she missed several deadlines . ||| Un fantôme d'écrivain Hearst a écrit la page de journal après 1918, mais la designer elle-même a écrit le " Bon ménage " et " Harper's Bazaar " caractéristiques tout au long de leur durée, bien que la responsabilité de produire une pièce régulière s'est avérée difficile, et elle a manqué plusieurs échéances.
Her mother was an interior designer and her father a " pied noir " and a real estate agent . ||| Sa mère était une designer d'intérieur et son père un " pied noir " et un agent immobilier.
The designer first gained international recognition in 2000 with her collection „ Déclaration d’amour à l’Allemagne “ . ||| La designer a d'abord obtenu une reconnaissance internationale en 2000 avec sa collection „Déclaration d'amour à l'Allemagne.
The designer also draws on her studies of Bohemianism , Dark Romanticism , and love for the literature , art and music of the Decadent movement . ||| La créatrice s'appuie également sur ses études de Bohème, Romantisme sombre, et l'amour pour la littérature, l'art et la musique du mouvement Decadent.
AG Hair was founded in 1989 by Lotte Davis , a South African - born graphic designer and her husband John Davis , a hairdresser from Liverpool , in their North Vancouver basement . ||| AG Hair a été fondée en 1989 par Lotte Davis, graphiste sud - africain et son mari John Davis, coiffeur de Liverpool, dans leur sous - sol de Vancouver du Nord.
Everything is produced in Moscow under the strict control of the designer herself . ||| Tout est produit à Moscou sous le contrôle strict du designer elle-même.
Fashion designer Valentino once commented on her physical resemblance to Marlene Dietrich . ||| La créatrice de mode Valentino a commenté une fois sa ressemblance physique avec Marlene Dietrich.
Kanai was born in 1978 to parents with artistic backgrounds , her father being a graphic designer and her mother working for the Japanese fashion designer Issey Miyake . ||| Kanai est né en 1978 de parents d'origine artistique, son père étant graphiste et sa mère travaillant pour le designer de mode japonais Issey Miyake.
No director , choreographer , set designer or costume designer was hired like back in her days as career performer . ||| Aucun réalisateur, chorégraphe, décorateur ou customiste n'a été embauché comme à son époque comme artiste de carrière.
In 1993 , a Beverly Hills graphic designer who said she had an on-and-off relationship with Sharkey from 1985 to 1991 announced that she was suing Sharkey ' s estate . ||| En 1993, une graphiste de Beverly Hills qui a déclaré qu'elle avait eu une relation avec Sharkey de 1985 à 1991 a annoncé qu'elle poursuivait la succession de Sharkey.
Designer Nicole Miller used Lynn 's " The Last High ( Y - Tron Remix ) " for her Spring 2013 campaign . ||| La créatrice Nicole Miller a utilisé Lynn's " The Last High ( Y - Tron Remix ) " pour sa campagne du printemps 2013.
Costume designer Daphne Dare used artistic license with her costumes in the serial , since male Aztecs usually only wore brief loincloths and cloaks , while women were often topless . ||| Costume designer Daphne Dare a utilisé la licence artistique avec ses costumes dans la série, puisque les hommes Aztèques ne portaient généralement que de courtes toiles et manteaux, tandis que les femmes étaient souvent sans top.
Her mother , Tessa , an interior designer spent time with her children playing tennis during their childhood . ||| Sa mère, Tessa, une designer d'intérieur a passé du temps avec ses enfants à jouer au tennis pendant leur enfance.
Her maternal grandmother was a talented designer herself , and she displayed talent as a young girl in drawing and making clothes for her dolls . ||| Sa grand-mère maternelle était une designer talentueuse elle-même, et elle a fait preuve de talent en tant que jeune fille dans le dessin et la confection de vêtements pour ses poupées.
Anne Fogarty ( February 2 , 1919 – January 15 , 1980 ) was an American fashion designer , active 1940–80 , who was noted for her understated , ladylike designs that were accessible to American women on a limited income . ||| Anne Fogarty (2 février 1919 – 15 janvier 1980) est une créatrice de mode américaine, active de 1940 à 1980, qui a été notée pour ses conceptions sous-estimées, ladylike qui étaient accessibles aux femmes américaines sur un revenu limité.
The designer praised her look and strong photographs , but criticized her runway walk as well as her lack of eye contact . ||| La designer a loué son look et des photos fortes, mais a critiqué sa marche sur piste ainsi que son manque de contact visuel.
Her designer was John Henslow , and she was identical with his contemporaneous except that " Echo " was a ship - sloop and " Busy " was a brig - sloop . ||| Son concepteur était John Henslow, et elle était identique à son contemporain sauf que " Echo " était un bateau - sloop et " Busy " était un brick - sloop.
Urai has also worked as a freelance graphic designer and video game journalist and through her work with Microsoft she has been sponsored by the company , wearing an Xbox 360 logo on her gear . ||| Urai a également travaillé comme graphiste indépendante et journaliste de jeux vidéo et grâce à son travail avec Microsoft, elle a été sponsorisée par l'entreprise, portant un logo Xbox 360 sur son équipement.
In October 2014 , following the publication of the authorised biography Vivienne Westwood by the fashion designer and her co - author Ian Kelly , Gorman accused the authors and the publisher Picador of plagiarising substantial sections of material from his book " " . ||| En octobre 2014, suite à la publication de la biographie autorisée Vivienne Westwood par la créatrice de mode et son coauteur Ian Kelly, Gorman a accusé les auteurs et l'éditeur Picador de plagier des parties substantielles de son livre ".
Judianna Makovsky ( born August 24 , 1967 ) is an American costume designer , who is perhaps best known for her work on the films " Harry Potter and the Philosopher 's Stone " ( 2001 ) , " Seabiscuit " ( 2003 ) and " The Hunger Games " ( 2012 ) , as well as various films within the Marvel Cinematic Universe . ||| Judianna Makovsky (née le 24 août 1967) est une créatrice de costumes américaine, qui est peut-être plus connue pour son travail sur les films " Harry Potter and the Philosopher's Stone " ( 2001 ), " Seabiscuit " ( 2003 ) et " The Hunger Games " ( 2012 ), ainsi que divers films dans l'Univers cinématographique Marvel.
One of the former residents of Satoya , however , turns out to be a famous designer who owns a run-down villa on Miyakojima that she offers to let Jun turn into a inn . ||| L'un des anciens résidents de Satoya, cependant, s'avère être une célèbre designer qui possède une villa en ruine sur Miyakojima qu'elle propose de laisser Jun se transformer en une auberge.
She became a designer herself at the company during the early 1930s and created a number of patterns on bone china and Queen ’s ware for Wedgwood . ||| Elle est devenue une designer elle-même à l'entreprise au début des années 1930 et a créé un certain nombre de modèles sur la porcelaine osseuse et Queen Ware pour Wedgwood.
The designer also said she had to make some adaptations to a suit worn by Ormond , as she is a completely different body shape to her character , Vivien Leigh . ||| La designer a également dit qu'elle a dû faire quelques adaptations à un costume porté par Ormond, car elle est une forme de corps complètement différente de son personnage, Vivien Leigh.
The American designer Anne Fogarty was particularly noted for her full - skirted designs worn over crinoline petticoats , which were always separate garments from the dress to enable ease of movement and travelling . ||| La créatrice américaine Anne Fogarty a été particulièrement remarquée pour ses motifs à jupes pleines portés sur des jupons crinolines, qui étaient toujours des vêtements séparés de la robe pour faciliter le mouvement et le voyage.
American urban landscape designer Renée Gunter uses this plant in her South Los Angeles lawn as a drought - resistant alternative to thirstier plants . ||| American urban paysagiste designer Renée Gunter utilise cette plante dans sa pelouse de Los Angeles du Sud comme une alternative à la sécheresse - résistant aux plantes plus soif.
When she returned to Alabama she hired a designer for a hand-operated device to keep a windshield clear and had a local company produce a working model . ||| Lorsqu'elle est revenue en Alabama, elle a embauché un concepteur pour un dispositif actionné à la main afin de garder un pare-brise dégagé et une entreprise locale a produit un modèle de travail.
Shoulder pads originally became popular for women in the 1930s when fashion designer Elsa Schiaparelli included them in her designs of 1931 . ||| Les coussinets d'épaules sont devenus à l'origine populaires pour les femmes dans les années 1930 quand la créatrice de mode Elsa Schiaparelli les a inclus dans ses dessins de 1931.
Then the designer insists the home owner leave and do not return to their house in 2 days as the designer and her crew prepares to finish renovating their house with a budget under $ 5000 . ||| Alors la designer insiste pour que le propriétaire de la maison quitte et ne retourne pas dans leur maison dans 2 jours alors que la designer et son équipe se préparent à finir de rénover leur maison avec un budget de moins de 5000 $.
Rachel Hauck is a scenic designer based in New York City who is known for her work in Anaïs Mitchell 's musical " Hadestown " on and off - Broadway and in London , John Leguizamo 's " Latin History for Morons " on and off - Broadway , and her extensive off - Broadway work . ||| Rachel Hauck est une scénariste basée à New York qui est connue pour son travail dans la comédie musicale d'Anaïs Mitchell "Hadèstown" sur et hors - Broadway et à Londres, John Leguizamo "Histoire latine pour les morons" sur et hors - Broadway, et son vaste travail hors - Broadway.
Costume designer Karyn Wagner spoke of her role within " The Possibilities " , more so her involvement in the van sequence with Cassidy , Fiore and DeBlanc , wherein Wagner stated , " For a stunt like this , you have to consider what you can get 8 to 12 of , because you nee multiple takes for principal actors . ||| Costume designer Karyn Wagner a parlé de son rôle dans " The Possibilitys ", plus ainsi son implication dans la séquence de van avec Cassidy, Fiore et DeBlanc, où Wagner a déclaré, " Pour une cascade comme celle-ci, vous devez considérer ce que vous pouvez obtenir 8 à 12 de, parce que vous neez multiple prend pour les acteurs principaux.
In her collection " Ariege " , fashion designer Marcela Calvet named one of her most sought - after handbags " Corinne " , in her honor . ||| Dans sa collection " Ariege ", la créatrice de mode Marcela Calvet a nommé l'un de ses sacs à main les plus recherchés - " Corinne ", en son honneur.
In 2003 , the designer launched her Dolly Girl fragrance together with several limited edition sets in the Dolly Girl series . ||| En 2003, la designer a lancé son parfum Dolly Girl ainsi que plusieurs ensembles d'édition limitée dans la série Dolly Girl.
British designer Gina Franklyn sold British fashions out of her shop 99 , located at 99 MacDougal Street in New York 's Greenwich Village . ||| La designer britannique Gina Franklyn a vendu des mode britannique dans sa boutique 99, située au 99 MacDougal Street dans le Greenwich Village de New York.
She was the eldest daughter of the merchant Herman Kohany ( 1882–1942 ) who perished in the Holocaust under unknown circumstances , and Paulina Kohany , née Raaber ( 1882–1942 ) , a porcelain designer in her youth , who was killed along with her younger daughter Hilde Kohany ( 1920–1942 ) in Treblinka . ||| Elle était la fille aînée du marchand Herman Kohany ( 1882-1942 ) qui a péri dans l'Holocauste dans des circonstances inconnues, et Paulina Kohany, née Raaber ( 1882-1942 ), une créatrice de porcelaine dans sa jeunesse, qui a été tué avec sa fille plus jeune Hilde Kohany ( 1920-1942 ) à Treblinka.
Bobbie 's father was theologian Morris S. Seale , her sister was Thea Porter the fashion designer and her brother was writer and journalist Patrick Seale . ||| Bobbie's père était théologien Morris S. Seale, sa sœur était Thea Porter la créatrice de mode et son frère était écrivain et journaliste Patrick Seale.
The biological mother of Mia who was often portrayed as faceless character who lived in New York as fashion designer having her face always covered by a sculpture , in the 1st half of the show . ||| La mère biologique de Mia qui était souvent dépeint comme un personnage sans visage qui vivait à New York comme designer de mode ayant son visage toujours couvert par une sculpture, dans la première moitié du spectacle.
Two days later the project was revealed to be a hoax perpetrated by Funny Or Die , after the video 's costume designer posted the experience on her online resume . ||| Deux jours plus tard le projet a été révélé être un canular perpétré par Funny Or Die, après que la concepteur de costume de la vidéo a posté l'expérience sur son CV en ligne.
designer Dhafali Devi won the award for her rug under the Discipline category . ||| designer Dhafali Devi a remporté le prix pour son tapis dans la catégorie Discipline.
The Sui by Anna Sui line and her jeans line continued under operation after the designer left her designer job at Gilmar 's Cento X Cento . ||| La ligne Sui par Anna Sui et sa ligne de jeans ont continué à fonctionner après que la designer a quitté son travail de designer à Gilmar's Cento X Cento.
As costume designer Rita Riggs described in her 2001 Archive of American Television interview , Lear 's idea was to create the feeling of sepia tones , in an attempt to make viewers feel as if they were looking at an old family album . ||| Comme la créatrice de costumes Rita Riggs décrit dans son 2001 Archives of American Television interview, L'idée de Lear était de créer le sentiment des tons de sépia, dans une tentative de faire sentir aux téléspectateurs comme s'ils regardaient un vieux album familial.
After her mother 's death , New York City fashion designer Lisa Rayborn ( Natasha Henstridge ) returns to her hometown and family farm . ||| Après la mort de sa mère, la créatrice de mode de New York Lisa Rayborn ( Natasha Henstridge ) retourne à sa ville natale et à sa ferme familiale.
Rita Ryack is a costume designer who was nominated for an Academy Award for Best Costume Design at the 73rd Academy Awards for her work in " How the Grinch Stole Christmas " . ||| Rita Ryack est une créatrice de costumes qui a été nommée pour un Oscar pour le meilleur design de costume aux 73ème Academy Awards pour son travail dans " How the Grinch Stole Christmas ".
It is important that in order to be an industrial design the product has to be produced in an industrial way , for example an artisan ca not be considered an industrial designer although she may challenge the same aspects of a product . ||| Il est important que pour être un dessin industriel le produit doit être produit d'une manière industrielle, par exemple un artisan ca ne soit pas considéré comme un designer industriel bien qu'elle puisse contester les mêmes aspects d'un produit.
Elizabeth Florence Emanuel ( née Weiner , born 5 July 1953 ) is a British fashion designer who is best known for designing , with her former husband David Emanuel , the wedding dress worn by Diana , Princess of Wales , in 1981 . ||| Elizabeth Florence Emanuel (née Weiner, née le 5 juillet 1953 ) est une designer de mode britannique qui est surtout connu pour concevoir, avec son ancien mari David Emanuel, la robe de mariée portée par Diana, princesse de Galles, en 1981.
designer Dhafali Devi won the award for her rug . ||| designer Dhafali Devi a remporté le prix pour son tapis.
The designer Jill Richards , herself a Hollywood actress of around the same era , favoured it in her collections of the 1970s , attracting a clientele of names such as Nancy Reagan . ||| La designer Jill Richards, elle-même une actrice hollywoodienne d'environ la même époque, l'a favorisé dans ses collections des années 1970, attirant une clientèle de noms tels que Nancy Reagan.
Beulah Elizabeth Hazelrigg Brown ( November 24 , 1892 – March 26 , 1987 ) was a Hoosier painter , educator , and textile designer who is best known for her bold , colorful , abstract patterns for fabrics , as well as figure , genre , landscapes , and floral still - life paintings in watercolor , her preferred media . ||| Beulah Elizabeth Hazelrigg Brown ( 24 novembre 1892 – 26 mars 1987) était un peintre, éducateur et designer textile Hoosier qui est surtout connu pour ses motifs audacieux, colorés, abstraits pour les tissus, ainsi que pour la figure, le genre, les paysages, et les peintures florales de nature morte en aquarelle, ses médias préférés.
Chanel chief designer Karl Lagerfeld noted Zhou Xun for her strong fashion sense , describing the actress as " a synthesis of young Coco Chanel and Ballet Troupe Zizi Jeanmaire . " ||| La designer en chef de Chanel Karl Lagerfeld a noté Zhou Xun pour son fort sens de la mode, décrivant l'actrice comme " une synthèse de jeune Coco Chanel et Ballet Troupe Zizi Jeanmaire ".
She portrayed fashion designer `` Margo Lynley '' from the serial ' s inception until 1992 when she left to begin a family . ||| Elle a dépeint la créatrice de mode `` Margo Lynley''' de la création de la série'jusqu'en 1992, date à laquelle elle est partie pour fonder une famille.
Under the label " LalicA " , the designer has produced her clothing line since 2002 . ||| Sous le label " LalicA ", la designer produit sa ligne de vêtements depuis 2002.
He also brought first - time collaborators production designer Barbara Ling based on her work in recreating historical settings in " The Doors " , and costume designer Arianne Phillips , who had a strong client list to her name including Tom Ford , James Mangold and Madonna . ||| Il a également amené des collaborateurs du premier temps designer de production Barbara Ling basé sur son travail dans la recréation de cadres historiques dans " Les portes ", et la créatrice de costumes Arianne Phillips, qui avait une forte liste de clients à son nom, y compris Tom Ford, James Mangold et Madonna.
Pope opted to leave Naughty Dog around 2010 , after " " was released , to move to Saitama , Japan , along with his wife Keiko , a game designer herself . ||| Pope a choisi de quitter Naughty Dog vers 2010, après " a été publié, pour déménager à Saitama, Japon, avec sa femme Keiko, une designer de jeu elle-même.
Production designer Mihaela Poenaru drew on her recollections of the period to prepare the locations . ||| La créatrice de production Mihaela Poenaru s'est inspirée de ses souvenirs de l'époque pour préparer les lieux.
Regarding The Silence of the Lambs mentioned above , I remember a behind-the-scenes documentary on it , and in it the costume designer for the film mentioned that she specifically strove for more ageless clothing for everyone , rather than what would have been characteristic of the early 1990s . ||| En ce qui concerne Le Silence des Lambs mentionné ci-dessus, je me souviens d'un documentaire derrière les coulisses sur elle, et dans celui-ci la créatrice de costumes pour le film a mentionné qu'elle s'est particulièrement attaché pour des vêtements sans âge pour tout le monde, plutôt que ce qui aurait été caractéristique du début des années 1990.
Olga , the main character , wants to be a costumes and set designer and her dreams come true when she works as an assistant for the famous edition of " La Traviata " directed by Luchino Visconti in 1955 . ||| Olga, le personnage principal, veut être un costumes et set designer et ses rêves se réalisent quand elle travaille comme assistante pour la célèbre édition de " La Traviata " dirigée par Luchino Visconti en 1955.
This episode introduces the station ' s graphics designer , Mona , as she draws pictures for Nas ' story for the children ' s segment `` Listen With Frank '' . ||| Cet épisode présente le concepteur graphique de la station, Mona, qui dessine des images de l'histoire de Nas pour le segment des enfants `` Écoutez avec Frank'' '.
At the same time , the designer wanted her creations to be equally as interesting on an intellectual level for parents to enjoy also . ||| En même temps, la créatrice voulait que ses créations soient tout aussi intéressantes sur le plan intellectuel pour les parents d'apprécier aussi.
Although costume designer Vasuki Baskar wrote on her social media account that the first look of the film would be released on 13 November , during the Diwali festival , it was unveiled on 15 December 2012 at Yuvan Shankar Raja 's concert in Malaysia . ||| Bien que la créatrice de costumes Vasuki Baskar a écrit sur son compte de médias sociaux que le premier regard du film serait sorti le 13 novembre, lors du festival Diwali, il a été dévoilé le 15 décembre 2012 au concert de Yuvan Shankar Raja en Malaisie.
Jenny Hellström ( born 1976 in Hofors , Gästrikland ) is both the name of a Swedish designer and her clothing brand . ||| Jenny Hellström (née en 1976 à Hofors, Gästrikland ) est à la fois le nom d'une designer suédoise et sa marque de vêtements.
After World War II the famous designer reestablished herself . ||| Après la Seconde Guerre mondiale, la célèbre designer s'est rétablie.
Prominent Lithuanian clothing designer usually organizes his collections presentations in Vilnius . ||| Le designer lituanien de vêtements célèbre organise habituellement ses présentations de collections à Vilnius.
For example , if one worker designs cars and another builds them , the designer will use his cognitive skills more frequently than the builder . ||| Par exemple, si un travailleur conçoit des voitures et un autre les construit, le concepteur utilisera ses compétences cognitives plus fréquemment que le constructeur.
In 2017 , it was reported that the designer of Comic Sans had only used his typeface once . ||| En 2017, il a été rapporté que le concepteur de Comic Sans n'avait utilisé sa typographie qu'une seule fois.
Nilssen maintains that the ovens were designed by Torsten Hoff , a renowned designer of ovens , who established himself as a sculptor in Christiania in 1711 , working there until his 1754 death . ||| Nilssen soutient que les fours ont été conçus par Torsten Hoff, un designer renommé des fours, qui s'est établi comme sculpteur à Christiania en 1711, y travaillant jusqu'à sa mort de 1754.
There is a chance that additional information could impede the reusability of the service as the service consumer designer may streamline his design based on this knowledge . ||| Il y a une chance que des informations supplémentaires pourraient entraver la réutilisabilité du service puisque le concepteur consommateur de service peut rationaliser sa conception en fonction de ces connaissances.
Elwood Engel , famous for being lead designer of the 1961 Lincoln Continental and for his work as chief designer at Chrysler in the 1960s , was Staff Stylist ( and consequently roamed all of the design studios ) at Ford during this period and worked very closely with John Najjar in developing not only the 1958 , but also the 1959 update . ||| Elwood Engel, célèbre pour être le concepteur principal de la Lincoln Continental 1961 et pour son travail en tant que designer en chef à Chrysler dans les années 1960, était Staff Stylist ( et par conséquent a erré tous les studios de design ) à Ford pendant cette période et a travaillé très étroitement avec John Najjar à développer non seulement la 1958, mais aussi la mise à jour 1959.
A successful and well known designer and craftsman in hand wrought silver jewelry by vocation , Joe 's greatest creative drive went into his work in sculpture . ||| Un designer et artisan prospère et bien connu en bijoux d'argent forgé main par vocation, Joe's plus grand dynamisme créatif est allé dans son travail dans la sculpture.
He , probably more than any designer knew his customer and understood her . " ||| Il, probablement plus que n'importe quel designer connaissait son client et la comprenait. "
O. S. Nock describes it as ‘ the most disappointing and tactless act in his short and stormy career as CME , ’ and Allen stated ‘ he turned it into a machine of such hideous appearance as might well have made its designer turn in his grave . ||| O. S. Nock le décrit comme ‘ l'acte le plus décevant et le plus tact dans sa courte et orageuse carrière comme CME, et Allen a déclaré ‘ il l'a transformé en une machine d'apparence aussi horrible que pourrait bien avoir fait son dessinateur tourner dans sa tombe.
In October 1998 , Hyundai complained to the BBC about what they described as " bigoted and racist " comments he made at the Birmingham Motor Show , where he was reported as saying that the people working on the Hyundai stand had " eaten a dog " and that the designer of the Hyundai XG had probably eaten a spaniel for his lunch . ||| En octobre 1998, Hyundai s'est plaint à la BBC de ce qu'ils ont qualifié de " bigoté et raciste " des commentaires qu'il a faits au Birmingham Motor Show, où il a été rapporté que les personnes travaillant sur le stand de Hyundai avaient " mangé un chien " et que le concepteur de la Hyundai XG avait probablement mangé un épagnel pour son déjeuner.
In his " New York Times " review , Frank Rich wrote : " In his brilliant lighting ... the designer Dennis Parichy has captured the entire spectrum of weather known to habitues of New England beaches in August . ||| Dans sa revue " New York Times ", Frank Rich a écrit : " Dans son éclairage brillant... le designer Dennis Parichy a capturé tout le spectre du temps connu pour les habitudes des plages de la Nouvelle-Angleterre en août.
Pfitzner , a “ designer of high - class gasoline motors , transmissions , and gears ” was employed by Glen Curtiss at his Hammondsport factory . ||| Pfitzner, un concepteur de haute classe de moteurs à essence, de transmissions et d'engrenages, a été employé par Glen Curtiss dans son usine Hammondsport.
The designers were able to create a room for Italy , Mexico or Thailand , with one paint can being empty , which let that one designer choose whatever country he wanted . ||| Les designers ont été en mesure de créer une salle pour l'Italie, le Mexique ou la Thaïlande, avec une peinture peut être vide, ce qui permet à un designer de choisir quel pays il voulait.
In the former case , device drivers may be required which the system designer may or may not be able to rely on if he has no control over the client device -LRB- as in the case of authentication to a public website -RRB- . ||| Dans l'ancien cas, des pilotes de périphérique peuvent être requis sur lequel le concepteur de système peut ou ne peut pas compter s'il n'a aucun contrôle sur le périphérique client -LRB- comme dans le cas de l'authentification à un site Web public -RRB-.
1520–1601 ) was a Franc - comtois sculptor , trained as a " menuisier " or wood - worker ; as a designer of Mannerist ornaments , his published designs , such as " Oevvre de la diversite des termes , do nt on use en architecture , reduicts en ordres " , Lyon , 1572 , inspired luxury furnishings , such as dressoires , armoires and cabinets . ||| 1520–1601 ) était un sculpteur franc - comtois, formé comme un " menuisier " ou le bois - ouvrier ; en tant que concepteur d'ornements maniéristes, ses dessins publiés, tels que " Oevvre de la diversite des termes, nent on use en architecture, reduit en ordres ", Lyon, 1572, meubles de luxe inspirés, tels que commodes, armoires et armoires.
From the leftovers of the furniture production the young designer started to create leather bags and accessoires since he did not want to waste any material and started to sell them along with his furniture collection at trade fairs . ||| Du reste de la production de meubles, le jeune designer a commencé à créer des sacs et accessoires en cuir puisqu'il ne voulait pas gaspiller de matériel et a commencé à les vendre avec sa collection de meubles lors de salons.
D'Or is married to Pazit , formerly a jewelry designer and now his manager . ||| D'Or est marié à Pazit, anciennement un designer de bijoux et maintenant son manager.
